Compound Id	G2s
3aa	0.183
3ab	0.181
3ba	0.192
3be	0.183
3bf	0.181
3de	0.174
3df	0.172
3dk	0.181
3dl	0.171
3ea	0.177
3eb	0.175
3ee	0.181
3ef	0.179
3eh	0.174
3ei	0.171
3el	0.177
3en	0.177
3fb	0.185
3ff	0.177
3fi	0.169
3fn	0.187
3gb	0.192
3gh	0.19
3gn	0.181
3go	0.187
3hb	0.174
3ho	0.171
3ib	0.168
3if	0.171
4aa	0.183
4ab	0.181
4dl	0.171
7aa	0.174
7ac	0.172
7bc	0.174
5ba	0.179
5bb	0.212
5be	0.211
5bf	0.181
5bh	0.187
5bi	0.172
5ch	0.183
5cj	0.172
5_da	0.185
5da	0.171
5_db	0.183
5db	0.169
5de	0.174
5df	0.172
5_dh	0.181
5dh	0.168
5di	0.182
5dj	0.168
5dk	0.181
5_dl	0.215
5dl	0.171
5dm	0.164
6ac	0.172
6ad	0.162
6bd	0.165
6bg	0.168
6dc	0.167
