Compound Id	ATS6e
3aa	3.638
3ab	3.653
3ba	3.74
3be	3.55
3bf	3.605
3de	3.733
3df	3.78
3dk	3.349
3dl	3.88
3ea	3.735
3eb	3.75
3ee	3.556
3ef	3.612
3eh	3.71
3ei	3.989
3el	3.72
3en	3.645
3fb	3.84
3ff	3.714
3fi	4.06
3fn	3.745
3gb	3.617
3gh	3.571
3gn	3.497
3go	3.614
3hb	3.826
3ho	3.823
3ib	3.985
3if	3.874
4aa	3.638
4ab	3.653
4dl	3.88
7aa	3.758
7ac	3.818
7bc	3.858
5ba	3.743
5bb	3.791
5be	3.48
5bf	3.569
5bh	3.709
5bi	4.113
5ch	3.848
5cj	4.006
5_da	3.25
5da	4.012
5_db	3.342
5db	4.048
5de	3.817
5df	3.881
5_dh	3.323
5dh	3.986
5di	4.306
5dj	4.124
5dk	3.338
5_dl	3.233
5dl	3.996
5dm	4.307
6ac	3.793
6ad	4.044
6bd	4.178
6bg	3.943
6dc	3.962
