Compound Id	E3u
3aa	0.338
3ab	0.344
3ba	0.357
3be	0.466
3bf	0.458
3de	0.443
3df	0.508
3dk	0.47
3dl	0.499
3ea	0.428
3eb	0.449
3ee	0.438
3ef	0.44
3eh	0.492
3ei	0.435
3el	0.414
3en	0.438
3fb	0.381
3ff	0.395
3fi	0.374
3fn	0.423
3gb	0.389
3gh	0.437
3gn	0.435
3go	0.452
3hb	0.474
3ho	0.454
3ib	0.37
3if	0.364
4aa	0.392
4ab	0.417
4dl	0.398
7aa	0.489
7ac	0.492
7bc	0.471
5ba	0.407
5bb	0.421
5be	0.454
5bf	0.404
5bh	0.384
5bi	0.401
5ch	0.338
5cj	0.34
5_da	0.345
5da	0.414
5_db	0.411
5db	0.437
5de	0.429
5df	0.395
5_dh	0.305
5dh	0.4
5di	0.421
5dj	0.41
5dk	0.471
5_dl	0.357
5dl	0.429
5dm	0.381
6ac	0.34
6ad	0.275
6bd	0.288
6bg	0.352
6dc	0.355
