Compound Id	R4v
3aa	0.476
3ab	0.529
3ba	0.515
3be	0.51
3bf	0.502
3de	0.545
3df	0.52
3dk	0.508
3dl	0.532
3ea	0.494
3eb	0.542
3ee	0.506
3ef	0.501
3eh	0.514
3ei	0.504
3el	0.519
3en	0.502
3fb	0.526
3ff	0.492
3fi	0.491
3fn	0.478
3gb	0.514
3gh	0.517
3gn	0.467
3go	0.517
3hb	0.581
3ho	0.524
3ib	0.557
3if	0.514
4aa	0.437
4ab	0.506
4dl	0.457
7aa	0.538
7ac	0.531
7bc	0.555
5ba	0.495
5bb	0.547
5be	0.504
5bf	0.491
5bh	0.503
5bi	0.502
5ch	0.519
5cj	0.549
5_da	0.51
5da	0.476
5_db	0.573
5db	0.518
5de	0.473
5df	0.462
5_dh	0.529
5dh	0.479
5di	0.485
5dj	0.502
5dk	0.495
5_dl	0.546
5dl	0.5
5dm	0.502
6ac	0.482
6ad	0.534
6bd	0.57
6bg	0.519
6dc	0.535
