Compound Id	G3u
3aa	0.189
3ab	0.202
3ba	0.17
3be	0.231
3bf	0.257
3de	0.202
3df	0.182
3dk	0.206
3dl	0.167
3ea	0.172
3eb	0.188
3ee	0.18
3ef	0.174
3eh	0.174
3ei	0.199
3el	0.177
3en	0.177
3fb	0.173
3ff	0.162
3fi	0.193
3fn	0.173
3gb	0.211
3gh	0.195
3gn	0.188
3go	0.204
3hb	0.186
3ho	0.191
3ib	0.18
3if	0.185
4aa	0.242
4ab	0.195
4dl	0.202
7aa	0.217
7ac	0.188
7bc	0.225
5ba	0.17
5bb	0.2
5be	0.195
5bf	0.21
5bh	0.201
5bi	0.206
5ch	0.183
5cj	0.183
5_da	0.177
5da	0.191
5_db	0.198
5db	0.191
5de	0.241
5df	0.191
5_dh	0.229
5dh	0.169
5di	0.181
5dj	0.179
5dk	0.206
5_dl	0.205
5dl	0.219
5dm	0.199
6ac	0.179
6ad	0.232
6bd	0.222
6bg	0.203
6dc	0.185
