Compound Id	40-h Tetrahymena toxicity as log(1/IGC50)
1	0.10
2	-0.38
3	-1.88
4	-1.43
5	-1.07
6	1.34
7	0.86
8	0.67
9	-2.67
10	-1.99
11	-1.75
12	-1.00
13	-1.17
14	-1.16
15	-0.95
16	-1.24
17	-1.04
18	-0.87
19	-1.54
20	-1.37
21	-1.79
22	-0.94
23	0.00
24	-2.24
25	-0.08
26	-2.51
27	-0.85
28	-0.47
29	-0.93
30	-0.49
31	-0.02
32	1.95
33	-0.74
34	-0.64
35	0.03
36	-0.17
37	0.17
38	0.62
39	0.85
40	0.13
41	-1.96
42	-2.05
43	-1.27
44	-2.30
45	-1.93
46	-1.49
47	0.76
48	0.22
49	0.34
50	-1.96
51	-0.71
52	0.15
53	1.66
54	1.65
55	0.99
56	1.58
57	0.36
58	-0.06
59	2.16
60	2.45
61	1.67
62	2.17
63	2.24
64	-1.63
65	-0.15
66	-1.75
67	-1.46
68	0.07
69	0.58
70	-0.67
71	1.52
72	-2.15
73	0.66
74	-0.65
75	-0.49
76	2.12
77	1.53
78	-1.17
79	-1.21
80	-1.22
81	-1.34
82	1.67
83	0.63
84	-1.23
85	-1.44
86	-1.20
87	-0.81
88	-0.91
89	-0.95
90	-1.48
91	-0.91
92	-2.32
93	-0.66
94	-1.79
95	-1.66
96	-1.98
97	-1.70
98	-1.50
99	-1.16
100	-1.95
101	-1.53
102	-1.88
103	-1.57
104	-1.54
105	0.40
106	-0.48
107	0.60
108	-0.12
109	0.18
110	0.93
111	0.22
112	0.29
113	0.64
114	1.64
115	-0.14
116	0.19
117	0.19
118	0.12
119	0.69
120	0.78
121	1.25
122	1.79
123	0.08
124	0.67
125	0.56
126	0.11
127	0.68
128	0.36
129	0.42
130	0.69
131	0.50
132	0.17
133	-0.13
134	1.16
135	0.53
136	0.53
137	1.30
138	1.34
139	1.21
140	0.56
141	0.87
142	-1.01
143	0.85
144	0.75
145	0.35
146	0.68
147	0.31
148	0.42
149	0.23
150	0.01
151	0.42
152	0.92
153	1.45
154	1.35
155	0.23
156	0.92
157	0.58
158	0.60
159	0.77
160	1.42
161	0.75
162	1.33
163	1.53
164	0.01
165	1.94
166	0.98
167	1.37
168	0.81
169	0.92
170	-0.92
171	0.25
172	-0.62
173	0.48
174	0.18
175	0.07
176	-0.49
177	0.37
178	-0.24
179	-0.39
180	-0.43
181	-0.10
182	0.10
183	-0.67
184	0.33
185	0.82
186	-0.20
187	-0.57
188	0.15
189	1.05
190	1.66
191	1.97
192	0.53
193	1.04
194	0.75
195	0.65
196	0.80
197	-0.23
198	-0.21
199	-1.03
200	-2.00
201	-1.30
202	-1.33
203	-0.49
204	-0.68
205	0.16
206	-1.14
207	0.17
208	-0.64
209	-0.41
210	-0.12
211	-1.61
212	-0.98
213	-1.25
214	-0.49
215	0.52
216	1.04
217	0.52
218	0.10
219	-0.56
220	-0.04
221	1.42
222	-0.40
223	-0.64
224	-0.97
225	-0.89
226	1.38
227	1.88
228	-0.19
229	-0.52
230	0.10
231	-0.08
232	0.21
233	1.60
234	0.98
235	-0.36
236	-0.04
237	-0.41
238	0.01
239	0.73
240	-1.40
241	-0.13
242	1.44
243	0.08
244	1.57
245	0.08
246	-1.64
247	-1.53
248	-1.53
249	-1.57
250	0.68
251	0.59
252	1.10
253	-1.50
254	-1.46
255	-1.15
256	-1.33
257	-0.41
258	-0.72
259	0.48
260	1.06
261	-0.87
262	-0.88
263	-0.38
264	-0.78
265	-0.65
266	-0.28
267	-0.40
268	-1.59
269	-1.27
270	-0.59
271	-1.28
272	-1.27
273	-1.17
274	-0.30
275	0.48
276	-1.49
277	1.09
278	-1.37
279	-1.79
280	-0.14
281	-0.11
282	1.42
283	0.62
284	-0.48
285	-0.51
286	-0.52
287	-0.48
288	1.49
289	0.94
290	-0.18
291	1.87
292	0.48
293	1.15
294	1.05
295	1.00
296	0.21
297	0.25
298	-0.32
299	-0.49
300	1.36
301	-0.39
302	0.17
303	0.30
304	0.78
305	0.67
306	-0.35
307	-0.91
308	-0.01
309	0.72
310	-0.20
311	0.33
312	0.74
313	0.80
314	1.25
315	2.04
316	1.08
317	1.43
318	1.31
319	1.24
320	-0.02
321	0.13
322	0.27
323	0.39
324	0.49
325	0.39
326	0.81
327	1.86
328	2.17
329	0.43
330	0.89
331	0.31
332	-0.50
333	-0.26
334	-0.24
335	-0.24
336	-0.10
337	0.60
338	-0.05
339	0.00
340	1.24
341	-0.36
342	0.62
343	1.90
344	-1.44
345	-2.28
346	-0.38
347	-1.97
348	0.28
349	1.65
350	-1.01
351	-0.16
352	0.14
353	-1.33
354	-0.88
355	0.01
356	-1.75
357	-0.24
358	-1.48
359	-0.79
360	-0.95
361	-0.77
362	-1.54
363	-0.69
364	0.04
365	-0.99
366	-0.41
367	-0.04
368	-1.61
369	-1.07
370	0.10
371	-0.80
372	-0.68
373	0.32
374	-0.26
375	-0.82
376	-0.40
377	0.16
378	-0.11
379	-0.16
380	1.31
381	1.07
382	0.08
383	1.14
384	0.92
385	1.26
386	0.87
387	1.50
388	1.40
389	1.55
390	1.37
391	0.96
392	-0.46
393	-0.07
394	0.21
395	1.89
396	1.19
397	0.56
398	1.56
399	-0.01
400	-0.21
401	-0.13
402	-0.88
403	-0.46
404	-0.86
405	-1.01
406	-0.99
407	-0.84
408	-0.71
409	0.27
410	0.47
411	0.38
412	0.68
413	-1.88
414	-0.50
415	-0.48
416	-0.18
417	-0.65
418	-0.52
419	-0.54
420	-1.20
421	-0.87
422	-0.13
423	-0.92
424	-0.94
425	-0.61
426	-1.32
427	-0.56
428	-0.09
429	0.20
430	0.42
431	0.69
432	0.30
433	0.86
434	0.54
435	0.00
436	1.04
437	-0.11
438	-0.98
439	-0.31
440	0.39
441	-2.20
442	-1.84
443	-0.26
444	-0.75
445	-1.22
446	-0.26
447	-2.45
448	1.02
449	0.63
450	0.00
451	1.19
452	0.26
453	1.04
454	0.27
455	1.00
456	0.03
457	0.96
458	-0.59
459	-0.70
460	-1.44
461	-0.43
462	0.47
463	0.06
464	0.11
465	0.64
466	1.07
467	0.64
468	-0.27
469	-0.50
