Compound Id	40-h Tetrahymena toxicity as log(1/IGC50)
1	0.203
2	0.423
3	1.119
4	0.587
5	0.043
6	-0.196
7	-0.057
8	-0.127
9	0.400
10	0.291
11	-0.086
12	-0.047
13	0.073
14	-0.224
15	0.011
16	0.081
17	0.487
18	0.406
19	0.167
20	0.178
21	0.183
22	0.148
23	0.232
24	0.506
25	0.154
26	1.036
27	-0.056
28	-0.101
29	0.231
30	1.257
31	0.477
32	0.079
33	0.716
34	1.179
35	0.670
36	0.815
37	0.527
38	0.155
39	-0.020
40	0.204
41	1.238
42	1.723
43	1.499
44	1.499
45	1.231
46	1.123
47	1.708
48	0.329
49	0.273
50	0.085
51	-0.142
52	-0.390
53	0.111
54	0.277
55	0.107
56	-0.196
57	0.001
58	0.128
59	0.515
60	0.850
61	0.377
62	1.648
63	0.617
64	0.870
65	0.890
66	0.614
67	0.266
68	1.320
69	0.617
70	1.050
71	1.107
72	1.009
73	0.424
74	0.610
75	-0.030
76	0.890
77	0.015
