Compound Id	dfg
1	1.5
2	2
3	1.5
4	0.5
5	1.5
6	4
7	3.5
8	1.5
9	2
10	0.5
11	1
12	3.5
13	4.5
14	4
15	4
16	1.5
17	2.5
18	1.5
19	4.5
20	4.5
21	2.5
22	2.5
23	2.5
24	2.5
25	4.5
26	4.5
27	2.5
28	2.5
29	2.5
30	2.5
31	2.5
32	4.5
33	1.5
34	1.5
35	2.5
36	2.5
37	0.5
38	0.5
39	1.5
40	1.5
41	3
42	2
43	3
44	3
45	1.5
46	1.5
47	0
48	2.5
49	2.5
50	0
51	2
52	0.5
53	0.5
54	2
55	3
56	3
57	1.5
58	2
59	2.5
60	2
61	3
62	3
63	3
64	2.5
65	0.5
66	2.5
67	3
68	3
69	2
70	0.5
71	0.5
72	0
73	0
74	2.5
75	0.5
76	0.5
77	0.5
78	0.5
79	0.5
80	1.5
81	1.5
82	0.5
83	0.5
84	0.5
85	1.5
86	1.5
87	1.5
88	2.5
89	1.5
90	3.5
91	2
92	1.5
93	3
94	1.5
95	1.5
96	0.5
97	1.5
98	0.5
99	0.5
100	1.5
101	0.5
102	0.5
103	0.5
104	0.5
105	0.5
106	0.5
107	1.5
108	0.5
109	0.5
110	0.5
111	3
112	0
113	0.5
114	0.5
115	0.5
116	0.5
117	0.5
118	1.5
119	0.5
120	1.5
121	0.5
122	0.5
123	0.5
124	2.5
125	0.5
126	0.5
127	0.5
128	1.5
129	1.5
130	1.5
131	0.5
132	0.5
133	1.5
134	1.5
135	1.5
136	1.5
137	0.5
138	1
139	2
140	1.5
141	1
142	2
143	1
144	1.5
145	0.5
146	0.5
147	0.5
148	0.5
149	0.5
150	1.5
151	1.5
152	1.5
153	0.5
154	0.5
155	0.5
156	0.5
157	1.5
158	0.5
159	0.5
160	0.5
161	1.5
162	1.5
163	1.5
164	0.5
165	1.5
166	0.5
167	0.5
168	0.5
169	0.5
170	1.5
171	0.5
172	0.5
173	0.5
174	1.5
175	1.5
176	0.5
177	4
178	1.5
179	1.5
180	1.5
181	1.5
182	1.5
183	0.5
184	1
185	1
186	0.5
187	1.5
188	2.5
189	3
190	1.5
191	0.5
192	0.5
193	1.5
194	3
195	0.5
196	4
197	3
198	1.5
199	1.5
200	1.5
201	2.5
202	0.5
203	1.5
204	1.5
205	0.5
206	0.5
207	0.5
208	0.5
209	0.5
210	1.5
211	0.5
212	0.5
213	0.5
214	1.5
215	0.5
216	2.5
217	2
218	2
219	1
220	0.5
221	0.5
222	2.5
223	2.5
224	4
225	2.5
226	0.5
227	0.5
228	0
229	2
230	2.5
231	1.5
232	3
233	2.5
234	1.5
235	1.5
236	3
237	2
238	1.5
239	3.5
240	2
241	1.5
242	0.5
243	1.5
244	0.5
245	0.5
246	2
247	1.5
248	0.5
249	0.5
250	0.5
251	2.5
252	2.5
253	2.5
254	2.5
255	0.5
256	0.5
257	1.5
258	1.5
259	0.5
260	1
261	4.5
