Compound Id	Cuticular polymer matrix/air partition coefficient as logKMXa
1	2.58
2	2.771
3	2.886
4	3.699
5	4.518
6	3.4
7	4.114
8	3.255
9	3.301
10	2.556
11	4.079
12	3.362
13	3.681
14	2.881
15	3.69
16	3.041
17	2.398
18	2.634
19	3.518
20	2.634
21	2.23
22	2.38
23	2.806
24	2.532
25	3.398
26	3.415
27	2.653
28	3.279
29	2.505
30	2.851
31	3.556
32	3.74
33	2.672
34	3.146
35	2.881
36	3.826
