Compound Id	Logarithmic octanol-water partition coefficient
1	0.38
2	-0.07
3	0.3
4	2.45
5	1.14
6	2.1
7	2.48
8	-0.3
9	0.97
10	4.9
11	1.83
12	2.91
13	0.89
14	-0.2
15	1.6
16	1.7
17	3.12
18	-0.5
19	-0.02
20	1.59
21	-1.03
22	-0.39
23	-0.2
24	2.38
25	1.46
26	3.48
27	3.44
28	0.3
29	-0.96
30	1
31	-0.09
32	0.7
33	-1.22
34	0.54
35	0.89
36	0.32
37	0.7
38	1.3
39	-0.62
40	0.35
41	1.68
42	0.05
43	1.01
44	3.79
45	0.65
46	0.28
47	-0.2
48	2.03
49	-0.3
50	2.9
51	0.9
52	0.94
53	2.26
54	1.63
55	0.14
56	0.19
57	0.91
58	2.7
59	2.6
60	4.4
61	2.3
62	3.3
63	1
64	4.27
65	0.7
66	1.17
67	2.3
68	1.7
69	2.95
70	4.2
71	3.42
72	2.71
73	-0.35
