Compound Id	40-h Tetrahymena toxicity as log(1/IGC50)
1	-1.42
2	-0.99
3	-0.46
4	-1.49
5	-0.79
6	-0.78
7	-1.63
8	-1.40
9	-0.76
10	-0.27
11	0.49
12	-0.85
13	0.11
14	-1.19
15	0.57
16	-0.46
17	-1.21
18	-0.93
19	0.01
20	1.04
21	0.85
22	0.97
23	1.88
24	-0.86
25	-1.12
26	-0.93
27	-0.63
28	0.29
29	2.23
30	2.40
31	0.63
32	-0.50
33	-0.88
34	-0.21
35	0.51
36	0.48
37	0.94
38	1.49
39	1.87
