Compound Id	Energy of the lowest unoccupied molecular orbital
S1	-0.10516
S2	-0.07309
S3	-0.07899
S4	-0.02942
S5	-0.13295
S6	-0.04209
S7	-0.06957
S8	-0.04057
S9	-0.0707
S10	-0.0413
S11	-0.10646
S12	-0.09973
S13	-0.09842
S14	-0.11015
S15	-0.15810
S16	-0.12486
S17	-0.11885
S18	-0.10939
S19	-0.05524
S20	-0.15586
S21	-0.09783
S22	-0.09663
S23	-0.10316
S24	-0.05419
S25	-0.10391
S26	-0.11659
S27	-0.08668
S28	-0.11928
S29	-0.04666
S30	-0.06051
S31	-0.11158
S32	-0.10338
S33	-0.16014
S34	-0.11899
S35	-0.11579
S36	-0.14384
S37	-0.09686
S38	-0.11529
S39	-0.04221
S40	-0.06397
S41	-0.12607
S42	-0.09801
S43	-0.11010
S44	-0.09393
S45	-0.10307837
