Compound Id	Geary autocorrelation of lag 1 weighted by mass
S1	1.103
S2	1.025
S3	1.195
S4	1.045
S5	0.451
S6	1.109
S7	0.88
S8	0.883
S9	0.835
S10	0.977
S11	0.694
S12	0.53
S13	1.118
S14	0.589
S15	0.574
S16	0.612
S17	0.748
S18	1.036
S19	1.281
S20	0.55
S21	0.921
S22	0.798
S23	0.52
S24	1.123
S25	1.054
S26	0.546
S27	1.27
S28	0.8
S29	1.062
S30	1.255
S31	0.793
S32	1.227
S33	0.542
S34	0.474
S35	0.522
S36	0.454
S37	0.998
S38	0.611
S39	1.055
S40	1.258
S41	0.504
S42	0.71
S43	0.851
S44	1.241
S45	1.188
