Compound Id	Shadow index component XZ
S1	0.66986
S2	0.66613
S3	0.54579
S4	0.74537
S5	0.54227
S6	0.5646
S7	0.59223
S8	0.625
S9	0.71505
S10	0.56702
S11	0.521
S12	0.56816
S13	0.59889
S14	0.58108
S15	0.4675
S16	0.58138
S17	0.6749
S18	0.61606
S19	0.65606
S20	0.54713
S21	0.60026
S22	0.55325
S23	0.59623
S24	0.69007
S25	0.72344
S26	0.61217
S27	0.60677
S28	0.60416
S29	0.73474
S30	0.73721
S31	0.57282
S32	0.74465
S33	0.58166
S34	0.64884
S35	0.52665
S36	0.51696
S37	0.66653
S38	0.56898
S39	0.59999
S40	0.81259
S41	0.56547
S42	0.59438
S43	0.61384
S44	0.76611
S45	0.69204
