Compound Id	Presence/absence of S - P at topological distance 1
S1	1
S2	0
S3	0
S4	0
S5	1
S6	0
S7	0
S8	0
S9	0
S10	0
S11	1
S12	1
S13	0
S14	1
S15	1
S16	1
S17	1
S18	1
S19	0
S20	1
S21	1
S22	1
S23	1
S24	0
S25	1
S26	1
S27	1
S28	1
S29	0
S30	0
S31	0
S32	0
S33	1
S34	1
S35	1
S36	1
S37	0
S38	1
S39	0
S40	0
S41	1
S42	1
S43	0
S44	0
S45	0
