Compound Id	Dipole moment component X
S1	-2.54264
S2	-1.60728
S3	0.19352
S4	-1.12375
S5	-1.33811
S6	0.23719
S7	1.63104
S8	0.17021
S9	0.39839
S10	-0.93662
S11	0.14540
S12	2.08122
S13	-2.13841
S14	-0.72266
S15	4.12308
S16	1.23614
S17	-0.38062
S18	2.98089
S19	0.31189
S20	4.00038
S21	1.54508
S22	0.94489
S23	-0.36735
S24	-1.94279
S25	2.03770
S26	-0.62409
S27	0.61764
S28	1.47500
S29	0.18239
S30	0.52907
S31	-1.62598
S32	-0.24642
S33	4.43572
S34	0.92743
S35	-3.64920
S36	-1.16331
S37	-0.19072
S38	0.30566
S39	-0.61923
S40	0.33320
S41	0.75741
S42	2.47925
S43	-0.13452
S44	0.11556
S45	-1.92312793
