Compound Id	Structural Information Content of second order index
S1	0.835
S2	0.843
S3	0.779
S4	0.739
S5	0.803
S6	0.78
S7	0.752
S8	0.798
S9	0.722
S10	0.811
S11	0.776
S12	0.7
S13	0.713
S14	0.761
S15	0.732
S16	0.549
S17	0.659
S18	0.716
S19	0.787
S20	0.78
S21	0.742
S22	0.78
S23	0.731
S24	0.749
S25	0.789
S26	0.734
S27	0.804
S28	0.743
S29	0.776
S30	0.835
S31	0.751
S32	0.725
S33	0.728
S34	0.76
S35	0.812
S36	0.743
S37	0.731
S38	0.842
S39	0.767
S40	0.629
S41	0.748
S42	0.582
S43	0.79
S44	0.677
S45	0.719
