Compound Id	Mean information index on atomic composition
S1	2.023
S2	1.744
S3	1.741
S4	1.533
S5	2.099
S6	1.611
S7	1.595
S8	1.392
S9	1.505
S10	1.523
S11	2.234
S12	1.772
S13	2.078
S14	2.027
S15	1.855
S16	1.83
S17	1.603
S18	1.963
S19	1.675
S20	1.99
S21	1.771
S22	1.774
S23	1.623
S24	1.618
S25	1.842
S26	1.789
S27	2.04
S28	2.19
S29	1.618
S30	1.88
S31	2.339
S32	1.893
S33	1.933
S34	1.767
S35	2.047
S36	2.016
S37	1.816
S38	1.971
S39	1.526
S40	1.612
S41	1.9
S42	1.88
S43	2.031
S44	1.977
S45	2.084
