Compound Id	Complementary Information Content of second order index
S1	0.713
S2	0.89
S3	1.039
S4	1.292
S5	0.985
S6	1.07
S7	1.45
S8	1.036
S9	1.304
S10	0.936
S11	1.087
S12	1.594
S13	1.195
S14	1.094
S15	1.373
S16	2.415
S17	1.704
S18	1.458
S19	1.141
S20	1.07
S21	1.322
S22	1.089
S23	1.306
S24	1.243
S25	1.074
S26	1.395
S27	0.767
S28	1.233
S29	1.101
S30	0.713
S31	1.075
S32	1.307
S33	1.36
S34	1.24
S35	0.98
S36	1.275
S37	1.399
S38	0.796
S39	1.142
S40	1.901
S41	1.28
S42	2.32
S43	1.009
S44	1.706
S45	1.213
