Compound Id	Geary autocorrelation of lag 6 weighted by Sanderson electronegativity
S1	0
S2	0.997
S3	1.286
S4	1.944
S5	0.72
S6	0.856
S7	1.551
S8	1.174
S9	1.425
S10	1.298
S11	0.749
S12	0.861
S13	1.191
S14	1.567
S15	0.214
S16	0.404
S17	0
S18	0.478
S19	0.944
S20	0.797
S21	0.585
S22	1.321
S23	0.712
S24	0.587
S25	0.663
S26	1.033
S27	0
S28	1.033
S29	1.856
S30	0.969
S31	1.149
S32	0.538
S33	0.4
S34	1.366
S35	0.763
S36	0.765
S37	0.572
S38	0.659
S39	0.912
S40	0.433
S41	1.117
S42	0.676
S43	1.036
S44	0.624
S45	0
