Compound Id	Shadow index component YZ
S1	0.63133
S2	0.71244
S3	0.62523
S4	0.79094
S5	0.665
S6	0.56905
S7	0.64294
S8	0.63984
S9	0.68154
S10	0.58322
S11	0.53846
S12	0.62714
S13	0.60528
S14	0.64787
S15	0.50407
S16	0.5903
S17	0.63043
S18	0.65154
S19	0.63715
S20	0.62368
S21	0.58521
S22	0.61659
S23	0.64205
S24	0.69461
S25	0.65992
S26	0.61576
S27	0.60351
S28	0.62411
S29	0.77373
S30	0.75568
S31	0.58139
S32	0.74841
S33	0.54881
S34	0.63929
S35	0.59382
S36	0.61091
S37	0.66938
S38	0.53594
S39	0.59933
S40	0.78524
S41	0.54426
S42	0.65034
S43	0.61061
S44	0.75668
S45	0.68099
