Compound Id	Moran autocorrelation of lag 1 weighted by mass
S1	0.213
S2	-0.069
S3	-0.226
S4	-0.264
S5	0.583
S6	-0.286
S7	0.045
S8	-0.126
S9	-0.114
S10	-0.189
S11	0.075
S12	0.602
S13	-0.319
S14	0.489
S15	0.521
S16	0.42
S17	0.464
S18	0.266
S19	0.034
S20	0.577
S21	0.255
S22	0.237
S23	0.526
S24	-0.331
S25	0.102
S26	0.573
S27	-0.118
S28	0.199
S29	-0.138
S30	-0.302
S31	-0.172
S32	-0.259
S33	0.589
S34	0.602
S35	0.36
S36	0.587
S37	0.041
S38	-0.013
S39	-0.24
S40	-0.458
S41	0.584
S42	0.342
S43	-0.094
S44	-0.266
S45	-0.398
