Compound Id	Flash point
100-53-8	343
109-79-5	275
513-53-1	261
75-66-1	246
1569-69-3	316
143-10-2	370
112-55-0	387
25103-58-6	373
540-63-6	317
75-08-1	225
1639-09-4	319
111-31-9	293
513-44-0	264
75-33-2	239
74-93-1	236
1455-21-6	351
25360-10-5	340
111-88-6	341
141-59-3	314
110-66-7	291
108-98-5	346
107-03-9	253
5332-52-5	381
598-04-9	416
2150-02-9	371
67-68-5	361
625-60-5	290
110-77-0	350
60-24-2	344
107-96-0	366
872-93-5	413
3268-49-3	334
598-03-8	400
126-33-0	449
111-48-8	421
68-11-1	398
95-15-8	371
110-06-5	342
107-47-1	314
544-40-1	345
75-15-0	243
592-88-1	313
132-65-0	431
7133-46-2	393
110-81-6	313
352-93-2	264
544-02-5	352
624-92-0	291
75-18-3	238
16587-40-9	382
1207-12-1	473
638-02-8	298
882-33-7	436
14290-92-7	238
55735-23-4	330
20333-39-5	299
3698-94-0	360
30453-31-7	324
4110-50-3	285
1551-32-2	312
872-55-9	297
1195-14-8	373
6163-64-0	269
7372-88-5	447
624-89-5	255
1551-21-9	262
13286-92-5	302
1741-83-9	306
100-68-5	333
628-29-5	289
3877-15-4	270
1795-09-1	295
554-14-3	281
616-44-4	284
2690-08-6	428
2084-19-7	282
629-19-6	339
111-47-7	301
16587-32-9	408
1551-27-5	318
110-01-0	289
420-12-2	283
4565-32-6	365
110-02-1	270
287-27-4	271
