Compound Id	Vertex adjacency information (magnitude)
219	5.321928095
220	5.321928095
221	5.459431619
222	5.857980995
223	5.321928095
224	5.392317423
225	5.523561956
226	6.392317423
227	5.321928095
228	5.523561956
229	5.392317423
230	5.392317423
231	5.459431619
232	5.857980995
233	5.169925001
234	6.285402219
235	5.247927513
236	5.584962501
237	5.392317423
238	5.459431619
239	5.392317423
240	5.321928095
241	5.321928095
242	5.321928095
243	5.321928095
244	5.169925001
245	5.523561956
246	5.523561956
247	5.807354922
248	5.857980995
249	5.321928095
250	5.459431619
251	5.321928095
252	5.857980995
253	6
254	5.392317423
255	5.523561956
256	5.321928095
257	5.247927513
258	5.321928095
259	5.321928095
260	5
261	5.247927513
262	5.247927513
263	5.087462841
264	5.459431619
265	5.321928095
266	5.523561956
267	5.169925001
268	5.247927513
269	5.321928095
270	5.392317423
271	5.169925001
272	5.321928095
273	5.459431619
274	5.247927513
275	5
276	4.906890596
277	5.459431619
278	5.459431619
279	5
280	5.321928095
281	5.392317423
282	5.247927513
283	5.459431619
284	5.247927513
285	5.169925001
286	4.906890596
287	5.584962501
288	5.392317423
289	5.087462841
290	5.087462841
291	5.321928095
292	4.807354922
293	5.247927513
294	5
295	4.906890596
296	5.392317423
297	5.321928095
298	5.392317423
299	5.087462841
300	5.087462841
301	5
302	5.087462841
303	5.087462841
304	5
305	5.169925001
306	5.392317423
307	4.906890596
308	5.392317423
309	5.523561956
310	4.807354922
311	5.169925001
312	5.321928095
313	5
314	5.247927513
315	4.906890596
316	5.392317423
317	5.321928095
318	4.906890596
319	4.700439718
320	5.169925001
321	5.321928095
322	4.807354922
323	5.087462841
324	5.459431619
325	5.392317423
326	5.247927513
327	4.700439718
328	4.584962501
329	5.169925001
330	5.64385619
331	4.584962501
332	4.459431619
333	4.169925001
334	5.169925001
335	4.700439718
336	4.906890596
337	4.459431619
338	4.459431619
339	4.459431619
340	4.807354922
341	4.169925001
342	4.169925001
343	5.584962501
344	5.169925001
345	4.169925001
346	4.169925001
347	4
9	5.459431619
10	5.169925001
20	5.392317423
21	5.523561956
26	5.459431619
66	5.459431619
154	5.523561956
185	5
190	5.087462841
191	5.087462841
194	5.087462841
196	5.169925001
197	5.169925001
198	5.169925001
201	5.247927513
202	5.247927513
204	5.321928095
212	5.321928095
362	5.321928095
386	5.247927513
387	5.321928095
388	5.459431619
390	3.321928095
391	5.169925001
392	5.169925001
393	5.169925001
394	4.584962501
395	3.321928095
397	5.247927513
398	3.807354922
401	4.906890596
409	3
410	4
417	5.169925001
418	2.584962501
422	2.584962501
424	3.321928095
428	3.321928095
430	3.321928095
433	3.584962501
435	4.807354922
436	5.523561956
437	4.906890596
438	4.700439718
440	4.321928095
441	4.321928095
446	4.321928095
447	4.321928095
455	4
456	4
457	4
459	4.169925001
461	4.321928095
464	3.584962501
468	4.169925001
469	4.321928095
475	4.700439718
480	4
481	4
495	4.169925001
496	4.169925001
497	4.169925001
498	3.807354922
499	3.807354922
502	3.807354922
513	3.321928095
514	3.321928095
518	3.584962501
524	3.807354922
529	4.584962501
533	4.584962501
536	4.807354922
537	4.807354922
539	4.169925001
540	4.169925001
541	4.700439718
542	4.169925001
543	5.247927513
544	4.700439718
545	4.700439718
552	5
553	4.700439718
554	4.459431619
555	4.584962501
559	5.321928095
560	5
561	5.321928095
562	5.169925001
565	5
566	5.169925001
567	4.584962501
568	4.807354922
569	4.906890596
570	5.247927513
573	4.169925001
575	4
577	4.584962501
583	4.459431619
588	4.321928095
594	5.523561956
595	3.584962501
596	5.169925001
597	4.807354922
599	5.459431619
604	5.459431619
616	5.169925001
618	5
619	5.392317423
621	5.392317423
623	5.087462841
625	5.087462841
631	5
640	4.584962501
646	3.321928095
647	5.247927513
648	5.169925001
651	3
653	3
656	5.087462841
659	4.321928095
660	3.321928095
663	4.807354922
669	4.700439718
673	4.700439718
676	4.169925001
677	4.584962501
680	5.321928095
683	4.459431619
686	5
699	4
700	4
701	4.169925001
702	4.169925001
703	3.584962501
706	4.321928095
710	4.459431619
715	4.321928095
717	4
721	5.247927513
736	4
739	3
741	4
751	5.321928095
753	4.700439718
754	5.807354922
761	5.087462841
767	3.584962501
769	4.700439718
792	4.584962501
799	4.807354922
802	4.807354922
804	4.584962501
805	4.584962501
814	5.392317423
821	4.169925001
822	4.321928095
831	4.169925001
851	4.321928095
865	4.906890596
871	4.700439718
878	5
881	5.247927513
883	5.169925001
902	5.247927513
905	4.807354922
925	5.392317423
931	4.584962501
932	5.169925001
937	5.459431619
946	5.169925001
960	4.906890596
976	4.906890596
1003	5.169925001
1010	5.459431619
1016	5.321928095
1027	5.459431619
1028	5.169925001
1036	5
1043	5
1049	5.169925001
1057	4.906890596
1059	5.087462841
1060	5.087462841
1061	5.169925001
1070	5.906890596
1075	5.247927513
1111	5.459431619
1112	6.247927513
1113	5.459431619
1114	6
1115	6.087462841
1116	6.087462841
1117	5.392317423
1118	5.392317423
1119	5.321928095
1120	5
1121	5.169925001
1122	4.700439718
1123	5.321928095
1124	5.700439718
1125	4.459431619
1126	5.857980995
1127	5.321928095
1128	3.321928095
1129	3.584962501
1130	4.321928095
1131	5.321928095
1132	4.807354922
1133	5.169925001
1134	5.087462841
1135	5.087462841
1136	5.857980995
1137	5.169925001
1138	4.321928095
1139	4.584962501
1140	4.584962501
1141	4.584962501
1142	4.459431619
1143	4.321928095
1144	4.321928095
1145	4.584962501
1146	4.459431619
1147	4.459431619
1148	4.584962501
1149	4.700439718
1150	4.321928095
1151	4.459431619
1152	5.807354922
1153	4.584962501
1154	4.807354922
1155	4.807354922
1156	4.584962501
1157	4.169925001
1158	4
1159	4.169925001
1160	4.169925001
1161	4.169925001
1162	3.584962501
1163	4.906890596
1164	4.584962501
1165	4.321928095
1166	4.321928095
1167	4.459431619
1168	4.459431619
1169	4.169925001
1170	4.169925001
1171	4.321928095
1172	4.584962501
1173	4.321928095
1174	4.459431619
1175	4.584962501
1176	4
1177	5.087462841
1178	4.807354922
1179	4.459431619
1180	4.906890596
1181	4.169925001
1182	5
1183	5
1184	4.169925001
1185	4.321928095
1186	4.321928095
1187	4
1188	4
1189	3
1190	4
1191	5.807354922
1192	4
1193	4
1194	4.321928095
1195	3.807354922
1196	3.321928095
1197	4.169925001
1198	4.584962501
1199	5.523561956
1200	4.807354922
1201	5.087462841
1202	4.700439718
1203	4.807354922
1204	5.459431619
1205	5.64385619
1206	4.906890596
1207	4.321928095
1208	4.321928095
1209	5.321928095
1210	4.584962501
1211	4.169925001
1212	5.087462841
1213	4.906890596
1214	5
1215	5.087462841
1216	5.087462841
1217	4.321928095
1218	4.169925001
1219	4.321928095
1220	4.321928095
1221	5.459431619
1222	5.169925001
1223	5.459431619
1224	5.087462841
1225	4.584962501
1226	5
1227	4.584962501
1228	4.584962501
1229	5.247927513
1230	4.700439718
1231	4.584962501
1232	4.321928095
1233	4.321928095
1234	4.321928095
1235	5.087462841
1236	4.321928095
1237	4.321928095
1238	5.584962501
1239	5.321928095
1240	3.807354922
1241	4.459431619
1242	4.459431619
1243	5
1244	4.584962501
1245	4.459431619
1246	4
1247	4.906890596
1248	5
1249	5.169925001
1250	4.700439718
1251	4.459431619
1252	4.169925001
1253	4.459431619
1254	4.906890596
1255	3.584962501
1256	4.459431619
1257	4.321928095
1258	4.321928095
1259	4.169925001
1260	4.700439718
1261	4.807354922
1262	5
1263	4.321928095
1264	4.321928095
1265	4.321928095
1266	4.321928095
1267	4.169925001
1268	5.247927513
1269	3.584962501
1270	4
1271	5.321928095
1272	4.459431619
1273	4.906890596
1274	4.321928095
1275	4.584962501
1276	4.584962501
1277	4.906890596
1278	4.321928095
1279	4.169925001
1280	4.459431619
1281	4.906890596
1282	5.523561956
1283	5.64385619
1284	5.700439718
1285	5.169925001
1286	4.459431619
1287	5.857980995
1288	5.247927513
1289	4.321928095
1290	4.321928095
1291	5
1292	4.807354922
1293	4.700439718
1294	4.584962501
1295	4.169925001
1296	5.169925001
1297	4.700439718
1298	4.459431619
1299	4.321928095
1300	5
1301	4.906890596
1302	4.807354922
1303	4.584962501
1304	5.087462841
1305	4.584962501
1306	5.087462841
1307	5.087462841
1308	4.700439718
1309	4.459431619
1310	5.087462841
1311	5
1312	5.321928095
1313	5.247927513
1314	5.247927513
1315	4.807354922
1316	4.906890596
1317	5.392317423
1318	4.321928095
1319	4.169925001
1320	5.169925001
1321	5.169925001
1322	4.459431619
1323	4.169925001
1324	4.169925001
1325	4.807354922
1326	5
1327	5.087462841
1328	5.169925001
1329	4.700439718
1330	5.584962501
1331	5.64385619
1332	4.906890596
1333	4.584962501
1334	5.087462841
1335	4.584962501
1336	4.584962501
1337	4.169925001
1338	5
1339	5.247927513
1340	4.321928095
1341	4.584962501
1342	5
1343	5.169925001
1344	5.169925001
1345	5.700439718
1346	5.247927513
1347	4.807354922
1348	4.459431619
1349	4.906890596
1350	5.169925001
1351	4.700439718
1352	4.807354922
1353	4.700439718
1354	5
1355	4.321928095
1356	4.584962501
1357	4.459431619
1358	4.584962501
1359	5.087462841
1360	5.169925001
1361	5.169925001
1362	3.807354922
1363	4.584962501
1364	4.459431619
1365	5.64385619
1366	4.584962501
1367	4.906890596
1368	5.087462841
1369	5.321928095
1370	5.392317423
1371	5.247927513
1372	5.169925001
1373	5.169925001
1374	4.321928095
1375	5
1376	4.906890596
1377	4.169925001
1378	4.700439718
1379	4.807354922
1380	4.906890596
1381	6.169925001
1382	5.169925001
1383	5.247927513
1384	4.700439718
1385	4.459431619
1386	4.584962501
1387	4.584962501
1388	4.807354922
1389	5
1390	4.584962501
1391	4.584962501
1392	5.321928095
1393	5.321928095
1394	4.459431619
1395	4.807354922
1396	4.807354922
1397	4.584962501
1398	4.807354922
1399	4.584962501
1400	5.584962501
1401	5.392317423
1402	5.392317423
1403	5.087462841
1404	4.321928095
1405	5
1406	5
1407	4.700439718
1408	5
1409	5.754887502
1410	4.807354922
1411	5.087462841
1412	5.523561956
1413	5
1414	5
1415	5.087462841
1416	5.087462841
1417	5
1418	5.169925001
1419	4.700439718
1420	4.807354922
1421	4.807354922
1422	5.169925001
1423	5.169925001
1424	5.321928095
1425	5.247927513
1426	5
1427	5.392317423
1428	5
1429	5.087462841
1430	5.087462841
1431	5.169925001
1432	5.169925001
1433	5.169925001
1434	5.247927513
1435	4.906890596
1436	4.906890596
1437	4.906890596
1438	5
1439	5
1440	5.321928095
1441	5.247927513
1442	5.321928095
1443	5.392317423
1444	5.247927513
1445	5
1446	5.321928095
1447	5
1448	5
1449	5
1450	5.087462841
1451	5.169925001
1452	4.321928095
1453	4.807354922
1454	5.169925001
1455	5
1456	5.247927513
1457	5.247927513
1458	5.247927513
1459	5.247927513
1460	5.169925001
