Compound Id	Total number of single bonds (including bonds to hydrogens, excluding aromatic bonds)
348	22
353	6
354	18
355	16
360	9
362	34
366	15
373	12
386	17
387	12
388	14
389	9
390	4
391	24
392	12
393	25
394	18
395	14
396	7
397	30
398	8
399	7
400	9
401	15
402	8
403	3
404	6
405	8
406	5
407	11
408	8
409	4
410	7
411	9
412	11
413	14
414	17
415	6
416	25
417	14
418	4
419	4
420	9
421	5
422	4
423	4
424	14
425	9
426	7
427	14
428	10
429	11
430	4
431	6
432	6
433	7
434	12
435	10
436	30
437	13
438	12
439	14
440	7
441	10
442	8
443	10
444	11
445	11
446	8
447	7
448	10
449	10
450	14
451	12
452	18
453	6
454	12
455	10
456	6
457	8
458	11
459	15
460	18
461	6
462	7
463	12
464	10
465	14
466	15
467	10
468	7
469	10
470	8
471	12
472	9
473	10
474	10
475	12
476	15
477	11
478	13
479	12
480	6
481	8
482	7
483	5
484	7
485	7
486	4
487	8
488	9
489	8
490	14
491	12
492	9
493	17
494	12
495	20
496	15
497	6
498	6
499	21
500	9
501	8
502	6
503	20
504	19
505	16
506	7
507	8
508	16
509	13
510	15
511	9
512	13
513	4
514	4
515	20
516	19
517	11
518	18
519	15
520	5
521	20
522	17
523	20
524	14
525	25
526	22
527	26
528	18
529	37
530	23
531	8
532	23
533	6
534	11
535	8
536	12
537	10
538	8
539	6
540	7
541	11
542	14
543	34
544	19
545	13
546	8
547	11
548	14
549	31
550	9
551	7
552	10
553	8
554	10
555	21
556	10
557	12
558	18
559	12
560	10
561	12
562	12
563	15
564	24
565	18
566	27
567	18
568	17
569	18
570	33
571	6
572	14
573	15
574	12
575	6
576	8
577	14
578	6
579	17
580	12
581	10
582	15
583	6
584	21
585	9
586	12
587	21
588	6
589	6
590	14
591	29
592	14
593	25
594	31
595	17
596	12
597	22
598	12
599	10
600	10
601	29
602	29
603	11
604	12
605	14
606	8
607	12
608	18
609	29
610	28
611	10
612	10
613	10
614	10
615	10
616	12
617	37
618	12
619	12
620	12
621	8
622	12
623	12
624	12
625	8
626	34
627	10
