Compound Id	Valence chain, order 7
175	0.078989273
176	0.078989273
177	0.117406616
178	0.131789406
179	0.117406616
180	0.117406616
181	0.131789406
182	0.131789406
183	0.170206749
184	0.144347306
185	0.170206749
186	0.144347306
187	0.170206749
188	0.170206749
189	0.170206749
190	0.208624092
191	0.208624092
192	0.197147439
193	0.197147439
194	0.208624092
195	0.235564782
196	0.235564782
197	0.235564782
198	0.235564782
199	0.235564782
200	0.235564782
201	0.262505472
202	0.262505472
203	0.253414419
204	0.280355109
