Compound Id	Valence path, order 2
348	2.98652
352	1.78682
354	1.693596727
359	4.943212176
360	0.695706
361	4.950727944
362	4.52453
363	2.342478648
364	4.35515
365	2.228010823
366	1.340043336
367	4.231362683
368	1.536966761
369	2.237619239
370	2.262127951
371	3.648047142
372	2.817149121
373	0.924594
374	2.400703508
375	2.332842616
376	1.09523
377	1.683185339
378	2.434910429
379	2.193033626
380	2.432281623
381	2.959385754
382	2.901029778
383	2.999427059
384	2.785192885
385	2.873823972
349	2.2698
350	3.25067
351	1.01008
356	0.956172
434	1.27191
436	5.09679
754	7.57551
755	7.35296
2007	0.727284
2008	2.77264
2009	2.83661
2010	1.45492
2011	1.87539
2012	5.82415
2013	2.30597
2014	1.72517
2015	1.68381
2016	7.90987
2017	1.42802
2018	1.75194
2019	2.00582
2020	2.71953
