Compound Id	Doubly bound carbon bound to two other carbons
704	5
1165	5
1278	0
1604	0
1872	0
1873	0
1874	0
1876	0
1877	5
1878	5
1879	0
1880	1
1881	0
1882	1
1883	0
1884	2
1885	0
1886	0
1889	0
1890	0
1893	0
1895	0
1896	0
1903	0
1913	0
1916	0
1919	0
1920	0
1925	0
1926	1
1927	1
1928	6
1929	0
1930	0
1931	2
1932	0
1933	0
1934	2
1935	0
1936	0
1937	0
1938	5
1939	6
1940	0
1941	0
1942	0
1943	1
1944	0
1945	0
1946	0
1947	1
1948	5
1	0
2	0
3	0
4	5
5	7
6	10
7	6
8	5
9	5
10	5
11	5
12	5
13	7
14	7
15	12
16	5
17	5
18	8
19	10
20	5
21	5
22	10
23	5
24	11
25	6
26	5
27	5
28	5
29	6
30	11
31	6
32	7
33	5
34	6
35	2
36	3
37	1
38	6
39	5
40	5
41	5
42	5
43	6
44	6
45	11
46	7
47	7
48	3
49	0
50	0
51	0
52	0
53	4
54	4
55	2
56	0
57	3
58	3
59	5
60	0
61	0
62	1
63	9
64	8
65	5
66	10
67	6
68	9
69	3
70	5
71	8
72	3
73	6
74	13
75	15
76	2
77	3
78	9
79	2
80	3
81	2
82	9
83	3
84	2
85	1
86	4
87	3
88	2
89	15
90	2
91	8
92	4
93	1
94	1
95	6
96	5
97	8
