Compound Id	The number of nitrogens
300	0
331	0
333	0
339	0
346	0
347	0
348	0
354	0
360	0
362	0
363	1
364	0
365	0
366	0
368	0
369	0
370	0
371	0
373	0
374	0
375	1
376	0
377	0
378	0
379	0
381	0
382	0
383	1
384	1
385	1
389	1
395	0
398	1
401	1
402	0
406	0
407	0
408	0
409	0
410	0
412	0
413	0
414	0
415	0
421	0
422	0
424	0
426	0
427	0
428	0
429	0
430	0
433	0
440	0
442	1
446	0
454	0
455	0
456	0
457	1
459	0
461	0
464	0
465	0
467	0
468	1
470	1
471	0
472	0
475	0
478	0
479	0
480	0
481	1
484	0
485	1
493	0
494	0
500	0
501	1
502	0
504	0
505	0
506	0
507	1
510	1
512	0
513	0
515	0
516	0
518	0
520	1
521	0
527	0
530	1
536	0
538	0
539	0
540	0
541	2
542	1
543	0
545	1
547	0
548	0
556	1
568	2
570	2
574	2
575	0
579	0
583	0
588	0
593	1
595	0
636	0
646	0
660	0
664	0
677	0
678	2
679	0
684	1
700	0
701	1
715	2
717	1
734	1
736	0
737	1
745	0
746	0
751	0
752	0
767	0
776	0
781	0
783	0
802	2
845	2
851	1
860	1
867	0
888	0
920	1
925	1
946	1
956	1
1003	1
1070	1
1073	0
1136	0
1138	0
1143	1
1171	1
1182	0
1184	0
1212	0
1214	0
1217	0
1218	0
1236	0
1269	0
1270	0
1278	0
1309	0
1589	2
1590	2
1591	1
1592	2
1593	2
1594	4
1595	2
1596	4
1597	1
1598	0
1599	0
1600	0
1601	0
1602	1
1603	1
1604	0
1605	0
1606	0
1607	0
1608	0
1609	0
1610	1
1611	0
1612	0
1613	1
1614	1
1615	1
1616	2
1617	0
1618	0
1619	0
1620	1
1621	0
1622	1
1623	0
1624	0
1625	0
1626	0
1627	0
1628	1
1629	3
1630	1
1631	1
1632	1
1633	1
1634	1
1635	0
1636	2
1637	1
1638	0
1639	0
1640	1
1641	0
1642	1
1643	0
1644	0
1645	0
1646	1
1647	1
1648	0
1649	1
1650	0
1651	0
1652	1
1653	0
1654	0
1655	1
1656	1
1657	0
1658	0
1659	0
1660	0
1661	1
1662	0
1663	0
1664	0
1665	0
1666	1
1667	0
1668	1
1669	2
1670	0
1671	1
1672	0
1673	1
1674	0
1675	0
1676	0
1677	2
1678	1
1679	1
1680	0
1681	0
1682	1
1683	2
1684	0
1685	0
1686	0
1687	0
1688	1
1689	0
1690	0
1691	1
1692	1
1693	1
1694	0
1695	0
1696	0
1697	0
1698	2
1699	0
1700	1
1701	1
1702	1
1703	0
1704	1
1705	0
1706	1
1707	0
1708	1
1709	0
1710	0
1711	1
1712	0
1713	0
1714	0
1715	1
1716	0
1717	0
1718	0
1719	0
1720	1
1721	1
1722	0
1723	2
1724	0
1725	1
1726	1
1727	0
1728	0
1729	0
1730	1
1731	0
1732	1
1733	0
1734	0
1735	0
1736	1
1737	2
1738	1
1739	0
1740	1
1741	0
1742	0
1743	0
1744	0
1745	0
1746	0
1747	1
1748	1
1749	0
1750	0
1751	1
1752	2
1753	0
1754	0
1755	1
1756	0
1757	1
1758	2
1759	1
1760	0
1761	0
1762	0
1763	0
1764	0
1765	0
1766	0
1767	0
1768	0
1769	0
1770	0
1771	0
1772	0
1773	1
1774	1
1775	0
1776	2
1777	0
1778	1
1779	0
1780	1
1781	0
1782	1
1783	0
1784	2
1785	1
1786	0
1787	0
1788	1
1789	0
1790	0
1791	1
1792	2
1793	2
1794	0
1795	1
1796	0
1797	0
1798	1
1799	1
1800	0
1801	0
1802	0
1803	1
1804	1
1805	1
1806	0
1807	0
1808	1
1809	1
1810	1
1811	1
1812	0
1813	0
1814	1
1815	0
1816	0
1817	0
1818	0
1819	0
1820	0
1821	2
1822	2
1823	1
1824	0
1825	1
1826	3
1827	0
1828	2
1829	1
1830	2
1831	0
1832	0
1833	1
1834	2
1835	1
1836	1
1837	1
1838	1
1839	1
1840	0
1841	1
1842	1
1843	0
1844	0
1845	0
1846	0
1847	0
1848	0
1849	1
1850	1
1851	0
1852	2
1853	1
1854	1
1855	4
1856	1
1857	0
1858	1
1859	1
1860	1
1861	0
1862	0
1863	0
1864	1
1865	1
1866	0
1867	1
1868	1
1869	0
1870	0
1871	0
1	4
2	3
4	3
5	3
6	3
7	3
8	3
9	3
12	3
14	3
16	4
17	3
20	3
21	3
22	4
23	3
24	3
25	4
26	3
27	3
28	3
29	3
31	5
98	3
99	3
100	6
101	3
102	3
103	3
104	6
105	5
106	3
107	4
108	3
109	3
110	5
111	3
112	3
113	3
114	3
115	3
116	3
117	3
118	4
119	4
120	4
121	4
122	3
123	3
124	4
125	5
126	3
127	3
128	3
129	3
130	6
131	3
132	3
133	4
134	3
135	5
136	4
137	4
138	3
