Compound Id	Number of >12-membered fused rings
219	0
220	0
221	3
222	0
223	3
224	3
225	1
226	3
227	0
228	1
229	3
230	0
231	0
232	0
233	0
234	3
235	3
236	3
237	0
238	0
239	3
240	3
241	0
242	0
243	3
244	0
245	3
246	1
247	0
248	0
249	0
250	0
251	3
252	0
253	0
254	3
255	1
256	3
257	3
258	0
259	0
260	0
261	0
262	0
263	0
264	3
265	0
266	1
267	0
268	0
269	0
270	3
271	0
272	0
273	0
274	0
275	0
276	0
277	3
278	0
279	0
280	0
281	0
282	0
283	3
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	3
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	3
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	3
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
