Compound Id	Valence path, order 0
1	3.04913
4	7.87579
5	12.3335
9	13.7184
51	10.4046
54	8.28171
56	10.1826
57	6.87346
59	10.7829
60	10.1299
66	12.9603
67	13.0299
70	14.2125
72	14.2826
98	12.874
99	4.70383
123	13.2582
129	11.5254
149	7.4025
151	13.6243
153	8.89706
170	11.1053
219	11.9274
288	16.7472
328	6.78022
340	8.88659
347	4.75661
348	9.35661
355	7.94239
362	12.185
370	6.85203
386	13.3656
387	10.9282
388	12.0829
389	4.87235
390	5.03557
391	11.6301
392	9.9282
394	10.2675
397	13.8828
398	3.9641
399	3.3021
401	8.35795
402	2.15432
404	2.35546
405	4.74221
406	1.44721
409	3.97903
410	7.80336
412	2.86143
413	3.56853
414	4.27564
415	3.4641
416	13.9143
417	12.1544
422	2.97489
423	4.8091
425	5.12325
428	4.55224
430	4.47903
433	5.69027
435	7.7735
436	13.1576
437	8.07618
438	7.32591
440	7.00359
442	4.87197
443	6.02032
444	5.16486
445	6.54145
446	5.6188
447	5.48867
449	6.7735
450	7.7735
451	7.97065
453	5.68885
454	5.3094
455	4.75661
456	5.57719
459	6.23205
460	7.1547
461	7.69027
462	7.00359
467	5.295
468	4.50211
470	4.87197
471	5.09386
472	4.67121
473	4.54107
474	4.795
475	7.18175
476	5.80096
477	5.44932
479	5.3094
480	5.57719
481	5.02064
483	2.27006
484	3.682
494	5.3094
495	7.24495
496	6.23205
497	6.63373
498	5.35071
500	4.38675
502	4.52064
506	3.83396
510	3.69867
521	4.98275
524	5.50446
527	6.39696
530	9.1115
532	8.56581
533	9.80336
536	7.68175
537	7.7735
538	4.20383
539	6.63373
540	5.94705
542	5.83396
543	13.9393
544	8.38975
545	7.2735
548	3.64492
552	8.7735
553	7.02705
554	6.1188
555	10.4639
558	5.18389
559	10.9282
560	8.7735
561	10.9282
562	9.9282
565	10.2159
566	13.4746
568	9.3553
569	9.76355
570	13.7545
572	5.43072
573	6.23205
575	5.57719
577	7.4641
578	5.92221
583	8.74682
588	7.69027
589	7.69027
591	9.11574
592	7.24856
593	9.6639
594	12.2949
597	9.25999
598	8.1862
600	7.83005
601	11.7872
602	12.8437
603	9.39104
608	8.707
609	14.9495
610	12.0499
617	13.2384
626	12.8283
628	1.11536
629	7.1259
630	8.82215
631	12.2479
632	12.1104
633	2.06295
634	3.17888
635	11.7735
636	8.06014
637	8.16793
638	10.0378
639	5.24818
640	9.72298
641	5.78022
642	2.87945
643	7.64929
644	6.295
645	5.37235
646	4.90168
647	13.8828
648	12.3091
649	2.96396
650	1.82246
651	6.46923
652	3.84514
653	3.47489
