Compound Id	Overall or summation solute hydrogen bond basicity
300	0.659
331	0.48
333	0.372
339	0.48
346	0.429
347	0.429
348	0.807
354	0.424
360	0.424
362	0.807
363	0.736
364	0.763
365	0.465
366	0.424
368	0.635
369	0.381
370	0.424
371	0.763
373	0.424
374	0.424
375	0.27
376	0.747
377	0.765
378	0.461
379	0.642
381	0.404
382	0.451
383	0.605
384	1.026
385	0.224
389	0.654
395	0.296
398	0.401
401	0.534
402	0.385
406	0.385
407	0.403
408	0.419
409	0.04
410	0.178
412	0.385
413	0.385
414	0.385
415	0.137
421	0.423
422	0.057
424	0.436
426	0.141
427	0.403
428	0.102
429	0.419
430	0.082
433	0.117
440	0.051
442	0.136
446	0.197
454	0.129
455	0.429
456	0.146
457	0.421
459	0.125
461	-0.007
464	0.108
465	0.419
467	0.467
468	-0.065
470	0.185
471	0.133
472	0.156
475	0.392
478	0.425
479	0.129
480	0.069
481	0.344
484	0.084
485	0.348
493	0.437
494	0.129
500	0.133
501	0.443
502	0.126
504	0.389
505	0.405
506	0.433
507	0.443
510	0.559
512	0.402
513	0.162
515	0.419
516	0.085
518	0.071
520	0.447
521	0.385
527	0.385
530	0.514
536	0.515
538	0.465
539	0.054
540	0.231
541	-0.306
542	0.461
543	2.632
545	1.011
547	0.423
548	0.733
556	0.859
568	0.82
570	2.559
574	-0.151
575	0.08
579	0.419
583	-0.026
588	0.07
593	0.649
595	0.347
636	0.021
646	0.073
660	0.094
664	0.175
677	-0.044
678	-0.133
679	0.493
684	0.461
700	0.323
701	0.329
715	0.153
717	0.548
734	0.333
736	0.376
737	0.397
745	0.385
746	0.385
751	0.76
752	2.759
767	0.071
776	0.385
781	0.605
783	0.594
802	1.037
845	0.452
851	0.345
860	0.523
867	2.095
888	-0.032
920	0.597
925	1.616
946	2.285
956	0.249
1003	0.704
1070	1.081
1073	0.804
1136	1.636
1138	0.071
1143	-0.045
1171	-0.069
1182	0.429
1184	0.46
1212	1.848
1214	0.523
1217	0.129
1218	0.296
1236	0.421
1269	0.125
1270	0.121
1278	0.227
1309	0.223
1589	0.958
1590	-0.147
1591	0.359
1592	0.928
1593	0.928
1594	1.312
1595	0.722
1596	3.375
1597	0.563
1598	0.423
1599	0.726
1600	0.867
1601	0.247
1602	0.731
1603	0.348
1604	0.265
1605	0.47
1606	0.436
1607	0.457
1608	0.443
1609	0.403
1610	0.877
1611	0.492
1612	0.066
1613	0.487
1614	0.552
1615	0.061
1616	0.873
1617	0.38
1618	0.515
1619	0.156
1620	0.757
1621	0.801
1622	1.612
1623	0.641
1624	0.122
1625	0.142
1626	0.38
1627	0.441
1628	1.081
1629	-0.157
1630	0.731
1631	0.457
1632	0.795
1633	1.045
1634	0.607
1635	0.471
1636	0.567
1637	0.443
1638	1.102
1639	0.484
1640	0.397
1641	0.403
1642	0.439
1643	0.785
1644	0.067
1645	0.378
1646	0.559
1647	0.327
1648	0.754
1649	0.661
1650	0.355
1651	0.332
1652	0.443
1653	0.049
1654	0.067
1655	0.77
1656	0.431
1657	0.437
1658	0.071
1659	0.423
1660	0.713
1661	0.926
1662	1.064
1663	0.437
1664	0.419
1665	0.067
1666	0.559
1667	0.253
1668	0.559
1669	0.611
1670	0.067
1671	0.559
1672	0.419
1673	0.559
1674	0.373
1675	0.429
1676	0.018
1677	0.319
1678	1.061
1679	0.795
1680	0.71
1681	0.71
1682	-0.111
1683	0.138
1684	0.485
1685	0.644
1686	0.441
1687	0.753
1688	0.559
1689	0.396
1690	0.636
1691	0.658
1692	0.836
1693	0.979
1694	0.071
1695	0.323
1696	0.505
1697	0.222
1698	-0.147
1699	0.278
1700	-0.122
1701	0.133
1702	0.344
1703	0.414
1704	0.22
1705	0.46
1706	0.133
1707	0.347
1708	0.491
1709	0.388
1710	0.446
1711	0.781
1712	0.419
1713	0.123
1714	0.846
1715	0.253
1716	0.467
1717	0.133
1718	0.475
1719	0.548
1720	0.269
1721	0.269
1722	0.437
1723	-0.196
1724	0.124
1725	0.571
1726	0.397
1727	0.441
1728	0.129
1729	0.419
1730	0.595
1731	0.439
1732	0.239
1733	-0.099
1734	0.051
1735	0.85
1736	0.417
1737	0.252
1738	0.144
1739	0.963
1740	1.362
1741	0.154
1742	0.071
1743	0.067
1744	0.421
1745	0.429
1746	0.308
1747	0.596
1748	0.577
1749	0.419
1750	0.296
1751	0.298
1752	0.55
1753	0.54
1754	0.689
1755	0.796
1756	0.413
1757	0.622
1758	0.855
1759	0.184
1760	1.753
1761	0.424
1762	0.419
1763	0.106
1764	0.642
1765	0.743
1766	0.136
1767	0.414
1768	0.517
1769	0.449
1770	0.406
1771	0.407
1772	0.407
1773	0.844
1774	0.529
1775	0.963
1776	0.624
1777	2.079
1778	0.777
1779	0.344
1780	0.592
1781	0.475
1782	0.621
1783	0.131
1784	0.631
1785	0.298
1786	0.452
1787	0.203
1788	0.298
1789	0.807
1790	0.892
1791	0.559
1792	0.748
1793	0.519
1794	0.424
1795	0.365
1796	0.443
1797	0.41
1798	0.348
1799	0.22
1800	0.455
1801	0.654
1802	0.421
1803	0.348
1804	0.861
1805	0.597
1806	0.778
1807	0.491
1808	0.521
1809	0.743
1810	0.559
1811	0.723
1812	0.554
1813	0.312
1814	0.611
1815	0.459
1816	0.457
1817	0.826
1818	0.461
1819	0.426
1820	0.151
1821	0.801
1822	1.668
1823	0.506
1824	0.421
1825	0.285
1826	0.824
1827	0.512
1828	0.729
1829	0.61
1830	0.464
1831	0.424
1832	0.419
1833	0.817
1834	-0.408
1835	0.212
1836	0.752
1837	0.763
1838	0.808
1839	1.625
1840	0.495
1841	0.724
1842	0.559
1843	0.424
1844	0.678
1845	0.632
1846	0.065
1847	0.461
1848	0.683
1849	0.803
1850	0.825
1851	0.504
1852	0.53
1853	0.397
1854	0.732
1855	0.92
1856	0.669
1857	0.475
1858	0.29
1859	0.632
1860	0.429
1861	0.357
1862	0.145
1863	0.402
1864	0.397
1865	0.562
1866	0.421
1867	0.774
1868	0.701
1869	0.424
1870	0.773
1871	0.654
