Compound Id	Minimum E-States for weak Hydrogen Bond acceptors
1	0.287037037
4	1.258611111
5	-0.042021605
7	0.720061728
8	1.160078875
9	1.174989117
10	1.530636705
12	1.09151406
16	1.090570988
17	0.99654321
18	-1.003417947
20	1.277899975
21	0.845325474
22	1.031329591
23	1.416791838
24	0.833928466
25	-0.939344136
26	1.322761086
27	1.333600088
28	-1.111011414
98	-0.04231429
109	-0.032322793
117	0.354949679
123	0.458203018
129	-0.546814531
131	0.720061728
133	1.190716
134	0.720061728
136	-0.227445489
137	-0.373240741
144	-0.039591338
146	-0.413379929
147	-0.838235218
