Compound Id	The maximum electrotopological state
9	6.398240426
10	4.238002451
20	11.15496217
21	13.07567229
26	11.48598069
66	11.65652935
154	13.85945448
185	5.929524177
190	6.118760288
191	6.047764918
194	5.976769547
196	6.237001029
197	6.237001029
198	6.307996399
201	6.35524177
202	6.42623714
204	6.544477881
212	6.47348251
279	9.23929188
286	9.254968939
290	9.296299446
300	9.803235894
314	2.413075274
319	9.103573948
332	9.011154573
333	8.955675583
339	9.022397959
342	9.061879287
362	11.94474482
386	2.398592845
387	2.309074074
388	2.332777778
390	1.369598765
391	10.54115403
392	2.298611111
393	2.195648148
394	1.353545953
395	4.833333333
397	6.100547437
398	5.357777778
401	11.09156226
409	1.348765432
410	1.380229767
417	2.309341301
418	1.647376543
422	1.577160494
424	8.520833333
428	2.335819616
430	2.392318244
433	1.350137174
435	2.178240741
436	12.24324397
437	10.78185941
438	2.217592593
440	9.430706447
441	10.22731481
446	2.12037037
447	3.362592593
455	8.919259259
456	2.233967764
457	5.560709877
459	2.203703704
461	2.467935528
464	1.607038752
468	10.00648148
469	10.11778156
475	5.578333333
480	2.233967764
481	5.44484225
495	5.630401235
496	2.1875
497	2.359077503
498	2.187242798
499	2.360277778
502	2.156035665
513	4.583333333
514	2.337962963
518	1.5
524	5.213734568
529	2.279016097
533	1.871207133
536	11.8462963
537	2.240740741
539	2.390003429
540	9.102774348
541	10.37953704
542	2.083333333
543	11.9617612
544	4.205193829
545	3.303888889
552	2.212407407
553	5.652407407
554	5.756203704
555	2.429099794
559	2.246574074
560	2.219907407
561	2.332777778
562	2.236111111
565	10.4485094
566	2.653733291
567	1.353545953
568	11.34684587
569	11.45309587
570	6.071646091
573	2.157407407
575	2.312071331
577	2.240740741
583	2.514941701
588	2.358906036
594	12.84483009
595	4.9375
596	6.012770919
597	4.255610495
599	1.887095021
604	6.570147462
616	6.111277435
618	5.832589163
619	6.463141289
621	6.570147462
623	6.038101852
625	6.012770919
631	5.972587554
640	10.97842834
646	2.405606996
647	6.100547437
648	2.367211672
651	1.534722222
653	3.700960219
656	2.730721879
659	11.01270833
660	1.614540466
663	10.965943
669	2.385484589
673	3.377962963
676	2.280973937
677	9.844718793
680	12.38139645
683	2.203703704
686	5.84977499
699	2.193072702
700	8.960154321
701	5.571848422
702	8.981848422
703	1.708461934
706	10.10314815
710	10.30153285
715	10.07696523
717	3.026944444
721	2.20356198
736	8.77484225
739	1.657150206
741	8.839228395
751	11.62163895
753	10.84128944
754	12.56978223
761	10.66934274
767	1.898491084
769	2.312242798
792	2.178240741
799	6.058934896
802	11.81215278
804	1.353545953
805	1.353545953
814	12.38396794
821	5.647774348
822	10.04759259
831	9.046234568
851	5.774780521
865	2.261574074
871	10.71893683
878	11.65599108
881	12.22226993
883	6.149268375
902	10.59861956
905	9.059025923
925	10.68483231
931	11.57145576
932	1.875528821
937	1.435218621
946	6.433185871
960	11.1110256
