Compound Id	number of aromatic bonds
1	5
4	14
5	11
9	11
51	6
54	6
56	6
57	6
59	12
60	6
66	18
67	12
70	12
72	11
98	6
99	10
123	5
129	17
149	6
151	6
153	6
170	6
219	12
288	0
328	6
340	13
347	6
348	6
355	6
362	6
370	0
386	12
387	24
388	26
389	6
390	0
391	6
392	21
394	0
397	0
398	6
399	0
401	11
402	0
404	0
405	6
406	0
409	0
410	0
412	0
413	0
414	0
415	6
416	12
417	12
422	0
423	0
425	0
428	0
430	0
433	0
435	16
436	12
437	12
438	13
440	6
442	6
443	6
444	6
445	11
446	11
447	11
449	13
450	13
451	6
453	10
454	6
455	6
456	6
459	6
460	6
461	6
462	6
467	6
468	6
470	6
471	6
472	6
473	6
474	6
475	12
476	6
477	6
479	6
480	6
481	6
483	0
484	0
494	6
495	0
496	6
497	6
498	6
500	6
502	6
506	6
510	0
521	0
524	0
527	0
530	6
532	0
533	6
536	12
537	16
538	6
539	6
540	6
542	6
543	0
544	6
545	12
548	0
552	19
553	15
554	11
555	0
558	0
559	24
560	19
561	24
562	21
565	6
566	0
568	6
569	6
570	6
572	6
573	6
575	6
577	11
578	6
583	6
588	6
589	6
591	0
592	11
593	6
594	6
597	6
598	6
600	13
601	0
602	0
603	6
608	6
609	0
610	10
617	6
626	6
628	0
629	6
630	0
631	6
632	21
633	0
634	0
635	21
636	6
637	12
638	12
639	6
640	0
641	6
642	0
643	0
644	6
645	6
646	0
647	0
648	12
649	0
650	0
651	0
652	0
653	0
654	0
655	0
656	0
657	0
658	0
659	0
660	0
661	12
662	12
663	6
664	11
665	12
666	6
667	6
668	16
669	6
670	6
671	6
672	6
673	15
674	11
675	11
676	6
677	6
678	6
679	11
680	12
681	12
682	6
683	11
684	6
685	11
686	13
687	21
688	16
689	13
690	11
691	6
692	6
693	6
694	6
695	12
696	6
697	6
698	6
699	6
700	6
701	6
702	6
703	0
704	6
705	6
706	6
707	6
708	6
709	6
710	6
711	6
712	6
713	6
714	6
715	6
716	6
717	6
718	12
719	6
720	6
721	12
722	12
723	6
724	6
725	6
726	0
727	12
728	6
729	6
730	6
731	6
732	0
733	0
734	6
735	6
736	6
737	6
738	0
739	0
740	6
741	6
742	6
743	6
744	6
745	0
746	0
747	0
748	6
749	0
750	0
751	12
752	6
753	6
754	6
755	6
756	0
757	6
758	23
759	6
760	6
761	6
762	6
763	6
764	12
765	0
766	0
767	0
768	25
769	15
770	0
771	6
772	6
773	6
774	12
775	0
776	0
777	0
778	16
779	6
780	6
781	6
782	6
783	6
784	0
785	0
786	29
787	27
788	24
789	27
790	25
791	24
792	11
793	26
794	21
795	18
796	25
797	16
798	0
799	0
800	0
801	0
802	0
803	0
804	0
805	0
806	6
807	6
808	0
809	6
810	6
811	6
812	13
813	12
814	12
815	6
816	6
817	6
818	6
819	0
820	0
821	6
822	6
823	6
824	0
825	0
826	6
827	6
828	6
829	6
830	6
831	6
832	0
833	0
834	0
835	6
836	6
837	6
838	6
839	6
840	16
841	6
842	6
843	6
844	6
845	6
846	6
847	6
848	6
849	0
850	6
851	6
852	6
853	6
854	6
855	6
856	6
857	6
858	0
859	6
860	6
861	16
862	6
863	6
864	6
865	16
866	16
867	6
868	6
869	6
870	17
871	6
872	6
873	6
874	0
875	6
876	11
877	6
878	0
879	6
880	12
881	6
882	6
883	0
884	0
885	6
886	6
887	6
888	6
889	16
890	6
891	6
892	6
893	0
894	0
895	0
896	6
897	6
898	6
899	6
900	6
901	12
902	12
903	6
904	6
905	6
906	6
907	6
908	6
909	6
910	6
911	0
912	6
913	6
914	6
915	6
916	6
917	12
918	6
919	0
920	6
921	6
922	13
923	13
924	6
925	12
926	11
927	6
928	6
929	6
930	6
931	0
932	11
933	6
934	6
935	6
936	6
937	0
938	6
939	6
940	11
941	5
942	21
943	6
944	6
945	6
946	6
947	0
948	6
949	6
950	6
951	6
952	0
953	6
954	12
955	6
956	6
957	6
958	13
959	0
960	6
961	6
962	6
963	6
964	6
965	6
966	11
967	6
968	6
969	6
970	6
971	6
972	0
973	6
974	0
975	6
976	13
977	6
978	6
979	6
980	6
981	6
982	6
983	6
984	0
985	0
986	0
987	0
988	0
989	13
990	0
991	6
992	6
993	6
994	0
995	0
996	6
997	12
998	12
999	6
1000	11
1001	6
1002	13
1003	6
1004	0
1005	6
1006	10
1007	6
1008	6
1009	6
1010	6
1011	6
1012	6
1013	6
1014	6
1015	0
1016	12
1017	6
1018	6
1019	6
1020	0
1021	6
1022	6
1023	6
1024	0
1025	6
1026	6
1027	6
1028	6
1029	6
1030	6
1031	6
1032	6
1033	0
1034	6
1035	6
1036	6
1037	6
1038	6
1039	0
1040	6
1041	6
1042	6
1043	13
1044	6
1045	6
1046	5
1047	6
1048	6
1049	13
1050	12
1051	6
1052	11
1053	13
1054	13
1055	6
1056	6
1057	13
1058	13
1059	13
1060	13
1061	13
1062	6
1063	6
1064	6
1065	6
1066	12
1067	12
1068	0
1069	12
1070	18
1071	11
1072	12
1073	12
1074	13
1075	13
1076	6
1077	0
1078	5
1079	0
1080	6
1081	6
1082	0
1083	12
1084	6
1085	12
1086	6
1087	6
1088	18
1089	16
1090	12
1091	11
1092	12
1093	12
1094	18
1095	6
1096	0
1097	12
1098	17
1099	6
1100	12
1101	6
1102	6
1103	6
1104	12
1105	6
1106	11
1107	13
1108	6
1109	12
1110	12
