Compound Id	Valence path, order 3
704	1.213954177
1165	1.101115904
1604	0.179284291
1872	0
1873	0.242500651
1874	1.25
1875	0.530070524
1876	0.285714286
1877	1.420975668
1878	1.423524821
1879	0.142857143
1880	0.414799224
1881	1.849450346
1882	0.858213966
1883	1.014010887
1884	1.593732424
1885	0.742307489
1886	2.488150909
1887	2.876447084
1888	1.187057297
1889	0.412393049
1890	0.24743583
1891	2.363461233
1892	0.916391876
1893	1.865679307
1894	1.034560724
1895	1.463852388
1896	1.069513009
1897	0.878041032
1898	0.79778322
1899	1.156232424
1900	0.787335989
1901	0.613311448
1902	1.407913561
1903	0.624622228
1904	0.856298038
1905	1.396934588
1906	0.427810922
1907	0.694365075
1908	0.231455025
1909	2.482107705
1910	0.231455025
1911	1.389460922
1912	1.733567674
1913	0.151522882
1914	1.230739479
1915	1.593732424
1916	0.754304144
1917	1.241719634
1918	0.862385758
1919	0.829997997
1920	0.824248823
1921	1.434889805
1922	1.323435263
1923	1.86120906
1924	1.952886296
