Compound Id	Fraction of sp3 carbons to sp2 carbons
300	0.0769231
331	0.454545
333	0.142857
339	0.4
346	0.25
347	0.142857
348	0.333333
354	0.833333
360	0.666667
362	0.5
363	0.222222
364	0.857143
365	0.571429
366	0.8
368	0.833333
369	0.222222
370	0.875
371	0.833333
373	0.75
374	0.875
375	0.125
376	0.4
377	0.5
378	0.125
379	0.125
381	0.125
382	0.666667
383	0.2
384	0.2
385	0.125
389	0
395	1
398	0
401	0.0833333
402	1
406	1
407	1
408	0.666667
409	1
410	1
412	1
413	1
414	1
415	0
421	0.5
422	1
424	1
426	1
427	1
428	1
429	0.75
430	0
433	1
440	0
442	0
446	0
454	0.25
455	0.142857
456	0
457	0
459	0.333333
461	0
464	1
465	0.8
467	0.125
468	0
470	0
471	0.25
472	0
475	0
478	0.25
479	0.25
480	0
481	0
484	1
485	1
493	0.833333
494	0.25
500	0.142857
501	0.166667
502	0
504	1
505	0.833333
506	0
507	0.166667
510	1
512	1
513	0
515	0.857143
516	1
518	1
520	0
521	1
527	1
530	0.363636
536	0
538	0
539	0
540	0
541	0.142857
542	0.25
543	0.8
545	0
547	0.75
548	1
556	1
568	0.222222
570	0.666667
574	0.142857
575	0
579	0.833333
583	0
588	0
593	0.416667
595	1
636	0
646	1
660	1
664	0.166667
677	0
678	0.4
679	0
684	0.4
700	0
701	0
715	0
717	0.142857
734	0
736	0
737	0.142857
745	1
746	1
751	0.142857
752	0.454545
767	0
776	1
781	0.142857
783	0.142857
802	0.555556
845	0
851	0
860	0.222222
867	0.454545
888	0
920	0
925	0.142857
946	0.444444
956	0
1003	0.5
1070	0.208333
1073	0.285714
1136	0.347826
1138	0
1143	0
1171	0.142857
1182	0.6
1184	0
1212	1
1214	0.6
1217	0.4
1218	1
1236	0.333333
1269	0.5
1270	0.5
1278	1
1309	0.142857
1589	0.181818
1590	0
1591	0.666667
1592	0.727273
1593	0.727273
1594	0.375
1595	0.3
1596	0.5
1597	0
1598	0.833333
1599	0
1600	1
1601	0.0769231
1602	0.222222
1603	1
1604	1
1605	0.833333
1606	1
1607	1
1608	1
1609	1
1610	1
1611	0.615385
1612	0.142857
1613	0.111111
1614	0
1615	0.142857
1616	0
1617	0
1618	0
1619	0
1620	0.454545
1621	0.2
1622	0.352941
1623	0
1624	0.142857
1625	0.142857
1626	1
1627	0.8
1628	1
1629	0
1630	0.125
1631	0.333333
1632	0.222222
1633	1
1634	0.142857
1635	0
1636	0
1637	0.285714
1638	1
1639	0.454545
1640	0.4
1641	1
1642	0.375
1643	0.666667
1644	1
1645	1
1646	1
1647	1
1648	1
1649	1
1650	1
1651	1
1652	0.166667
1653	1
1654	1
1655	1
1656	0
1657	0.857143
1658	1
1659	0.8
1660	1
1661	1
1662	1
1663	0.625
1664	0.875
1665	1
1666	1
1667	1
1668	1
1669	1
1670	1
1671	1
1672	0.909091
1673	1
1674	1
1675	0
1676	0
1677	0
1678	0.4
1679	0.363636
1680	0.222222
1681	0.125
1682	0
1683	0
1684	0.3
1685	0.25
1686	0.833333
1687	0.6
1688	1
1689	1
1690	0.25
1691	0
1692	0.416667
1693	1
1694	1
1695	0.125
1696	0.25
1697	0
1698	0
1699	0
1700	0
1701	0.142857
1702	0
1703	0
1704	0.142857
1705	0
1706	0.142857
1707	0.125
1708	0.142857
1709	1
1710	0.25
1711	0
1712	0.888889
1713	0.333333
1714	0
1715	0.142857
1716	0.125
1717	0.454545
1718	0.833333
1719	0.222222
1720	0
1721	0
1722	0.8
1723	0
1724	0
1725	0.111111
1726	0.25
1727	0.8
1728	0.333333
1729	0.923077
1730	1
1731	1
1732	0
1733	0
1734	0
1735	0.222222
1736	0.142857
1737	0.25
1738	0
1739	0.142857
1740	1
1741	0.333333
1742	1
1743	1
1744	1
1745	0.333333
1746	0
1747	0.5
1748	1
1749	0.9
1750	1
1751	0.25
1752	0.25
1753	0.9
1754	0.222222
1755	0.888889
1756	1
1757	1
1758	0.285714
1759	0
1760	0
1761	1
1762	0.888889
1763	1
1764	0
1765	0.5
1766	0
1767	0
1768	0
1769	0.333333
1770	1
1771	0.666667
1772	0.666667
1773	0.285714
1774	0
1775	0
1776	0
1777	0.454545
1778	0.142857
1779	0.4
1780	0.125
1781	1
1782	0
1783	0.6
1784	0
1785	0
1786	0.111111
1787	0.333333
1788	0
1789	0.5
1790	0
1791	1
1792	0.363636
1793	0
1794	1
1795	0
1796	1
1797	0.125
1798	1
1799	0.142857
1800	0.5
1801	0.625
1802	0.333333
1803	1
1804	0.125
1805	0
1806	0.666667
1807	0.181818
1808	0.416667
1809	0.375
1810	1
1811	0
1812	0.125
1813	0
1814	0
1815	0.857143
1816	1
1817	0.3
1818	0.571429
1819	0.666667
1820	0
1821	0.166667
1822	0.625
1823	0
1824	1
1825	0.125
1826	0.2
1827	0.333333
1828	0.285714
1829	1
1830	0
1831	1
1832	0.916667
1833	0.181818
1834	0
1835	0
1836	0
1837	0
1838	1
1839	1
1840	0.6
1841	1
1842	1
1843	1
1844	0.222222
1845	0.409091
1846	0.25
1847	0.125
1848	0.363636
1849	0
1850	0
1851	1
1852	0
1853	0.571429
1854	0
1855	0.4
1856	0.363636
1857	1
1858	0.5
1859	0
1860	0.5
1861	1
1862	0.111111
1863	1
1864	0.625
1865	0.5
1866	1
1867	0.5625
1868	0.363636
1869	1
1870	0.235294
1871	0
