Compound Id	ATS autocorrelation descriptor, weighted by charges
1	0
4	-0.008774792
5	-0.089849817
7	-0.075818503
8	0.010420113
9	0.01914614
10	-0.00762186
12	0.009460601
16	0.076396471
17	-0.001280743
18	-0.19656531
20	-0.005914451
21	0.00907876
22	0.058533167
23	-0.028816104
24	-0.002133215
25	0.092167672
26	-0.006645761
27	-0.006065625
28	0.13183591
98	0.260537533
109	0.214115342
117	0.20316719
123	0.249384583
129	-0.007098329
131	-0.075818503
133	-0.073945739
134	-0.075818503
136	-0.08976111
137	-0.024166187
144	-0.108137762
146	0.020695263
147	0.246120796
