Compound Id	Sum of atom-type H E-State: H on C sp3 bonded to saturated C
1604	0.95
1882	0
1892	0
1895	0
1896	0
1909	0
1916	1.133271605
1919	1.13132716
1920	1.54375
1922	0.951944444
1928	0
1930	0
1936	0.802237654
1937	2.921143707
1939	0
1940	1.088117284
1943	0
1949	1.844889613
1950	0
1951	0
1952	0
1953	1.449060374
1954	0
1955	0
1956	1.150833333
1957	0
1958	0
1959	3.178606387
1960	1.663333333
1961	2.237222222
1962	1.013271605
1963	0
1964	0
1965	1.253888889
1966	0
1967	1.775649447
1968	0
1969	0
1970	1.537742193
1971	0
1972	0
1973	1.470761763
1974	0
1975	0
1976	0
1977	0
1978	0
1979	0
1980	0
1981	3.246666667
