Compound Id	Minimum atom-type E-State: -Cl
348	0
353	0
354	0
355	0
360	0
362	0
366	0
373	0
386	0.981329
387	0
388	0
389	0
390	1.3696
391	0
392	0
393	1.24814
394	1.35355
395	0
396	0
397	1.2068
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	1.34877
410	1.38023
411	0
412	0
413	0
414	0
415	0
416	1.05687
417	0.963566
418	1.33831
419	0.998285
420	0
421	0
422	1.3071
423	1.37997
424	0
425	0.616941
426	1.3594
427	0
428	1.25892
429	0
430	1.14643
431	0
432	0.627143
433	1.35014
434	0
435	0
436	0
437	0
438	0
439	0
440	0.799873
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0.70982
452	0.789398
453	0
454	0
455	0
456	1.0491
457	0.883206
458	0
459	0
460	0
461	1.08327
462	0.792373
463	0
464	1.29883
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	1.0254
481	0.951667
482	0
483	0
484	1.28995
485	0
486	0
487	0
488	0
489	1.02683
490	0
491	0
492	0
493	0
494	0
495	1.11096
496	0
497	1.05373
498	0
499	0
500	0
501	0
502	1.01206
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	1.08318
518	0
519	0
520	0
521	0
522	0
523	0
524	1.14485
525	0
526	0
527	0
528	1.08373
529	0
530	0
531	0
532	0
533	1.14114
534	0
535	0.616694
536	0
537	0
538	0
539	1.04623
540	0.77904
541	0
542	0
543	0
544	0.663883
545	0
546	0
547	0
548	0
549	0
550	0
551	0.905521
552	0
553	0
554	0
555	0
556	0
557	0
558	0
559	0
560	0
561	0
562	0
563	0
564	0
565	0
566	1.21864
567	1.35355
568	0.86565
569	0.834135
570	0
571	0
572	0
573	0
574	0
575	1.0329
576	1.05808
577	0
578	0
579	0
580	0
581	0
582	0
583	1.1041
584	0
585	0
586	0
587	0
588	1.08327
589	1.06706
590	0
591	0
592	0
593	0
594	0
595	0
596	0.88923
597	0.655159
598	0.546512
599	1.07101
600	0.946776
601	0.990708
602	1.02775
603	0.745895
604	0.871532
605	0.935287
606	0.916329
607	0.915858
608	0.817962
609	1.31731
610	0
611	0.98486
612	1.01903
613	0.964027
614	0.978977
615	1.01601
616	0.843458
617	0
618	0.846985
619	0.858198
620	0.848078
621	0.94988
622	0.84287
623	0.806421
624	0.848667
625	0.942525
626	0.706656
627	1.05018
