Compound Id	Maximum positive intrinsic state difference in the molecule (related to the electrophilicity of the molecule).  Using deltaV = (Zv-maxBondedHydrogens) /(atomicNumber-Zv-1)
818	3.61334
819	3.57972
820	0.270405
821	1.64777
822	3.04759
823	4.85291
824	0.5643
825	2.68261
826	3.16716
827	3.13687
828	4.25169
829	3.91099
830	3.62669
831	3.04623
832	0.086334
833	3.36574
834	2.47917
835	1.76364
836	3.18885
837	3.67015
838	3.64398
839	4.27037
840	1.76794
841	3.90231
842	4.3269
843	3.25537
844	3.53445
845	3.53445
846	3.63243
847	0.175926
848	1.61179
849	0.152521
850	4.17533
851	1.77478
852	1.90179
853	3.57537
854	4.83549
855	4.67968
856	4.28015
857	1.44595
858	3.53194
859	3.28093
860	4.0899
861	4.4289
862	5.19866
863	5.34056
864	4.42547
865	0.261574
866	4.87334
867	2.65274
868	0.273796
869	1.39561
870	3.9328
871	3.71894
872	1.44082
873	4.65845
874	4.71117
875	3.37417
876	0.259259
877	2.68996
878	4.65599
879	2.26982
880	5.36982
881	5.22227
882	3.75899
883	2.64927
884	4.65961
885	4.10135
886	4.6214
887	2.7016
888	3.55382
889	3.53364
890	3.09639
891	4.15394
892	1.48119
893	0.447917
894	4.27203
895	4.29903
896	3.43375
897	4.86878
898	4.96048
899	4.32844
900	4.79911
901	3.53796
902	3.59862
903	4.86053
904	4.83324
905	3.05903
906	1.44492
907	1.3945
908	1.86257
909	4.72071
910	3.86768
911	4.70257
912	1.63983
913	3.64787
914	4.27753
915	3.37936
916	3.40447
917	4.50751
918	4.80401
919	4.83479
920	3.91716
921	4.03825
922	0.230933
923	0.213906
924	4.59282
925	3.68483
926	4.43392
927	4.16946
928	3.72185
929	3.19119
930	4.34076
931	4.57146
932	0.208862
933	4.80084
934	5.08508
935	4.93626
936	3.49962
937	0.0895396
938	3.8441
939	3.55493
940	4.45509
941	1.91279
942	2.21333
943	3.66307
944	1.7368
945	3.9554
946	2.69184
947	5.43797
948	3.60975
949	3.4102
950	4.33283
951	2.57425
952	3.07051
953	4.60817
954	2.55129
955	5.01933
956	2.01765
957	3.97879
958	2.89905
959	2.82385
960	4.11103
961	4.69435
962	3.77253
963	1.4919
964	3.30882
965	4.80444
966	3.03561
967	4.98218
968	5.00243
969	1.58529
970	4.03801
971	2.50934
972	4.84092
973	5.23587
974	4.51518
975	1.55348
976	0.386968
977	3.74991
978	1.70042
979	4.21197
980	4.25026
981	4.30527
982	1.42065
983	4.85013
984	4.49477
985	0.270405
986	3.72505
987	5.22762
988	3.96007
989	0.245415
990	2.60387
991	4.16136
992	4.24065
993	4.54621
994	5.0806
995	5.42151
996	4.45748
997	4.77249
998	4.83747
999	4.51569
1000	5.24667
1001	4.33662
1002	0.32393
1003	5.12549
1004	3.41543
1005	3.86768
1006	4.41792
1007	5.58962
1008	5.58962
1009	4.58222
1010	5.17917
1011	4.37491
1012	4.64198
1013	4.00686
1014	3.88364
1015	4.76465
1016	3.08738
1017	3.96857
1018	5.63999
1019	4.11271
1020	4.41158
1021	5.39929
1022	4.18938
1023	4.95332
1024	5.52792
1025	5.01762
1026	3.52769
1027	5.21882
1028	5.78101
1029	4.299
1030	1.51483
1031	4.2385
1032	4.91689
1033	3.9675
1034	5.12998
1035	4.28585
1036	4.87423
1037	4.89332
1038	3.30726
1039	4.42505
1040	5.64337
1041	5.64506
1042	4.53499
1043	0.432853
1044	4.85137
1045	4.28853
1046	4.37228
1047	4.34584
1048	5.12549
1049	0.533398
1050	5.39461
1051	2.95279
1052	2.44421
1053	0.432853
1054	0.590633
1055	4.34964
1056	5.35881
1057	0.401344
1058	0.401451
1059	0.510785
1060	0.455466
1061	0.424369
1062	5.34753
1063	4.27074
1064	5.78509
1065	4.72547
1066	4.68622
1067	4.68126
1068	5.27336
1069	4.32519
1070	5.99428
1071	4.45611
1072	5.72429
1073	5.5061
1074	0.557791
1075	0.533981
1076	4.8266
1077	4.32931
1078	4.30431
1079	5.25462
1080	5.30311
1081	2.38309
1082	4.70962
1083	5.78844
1084	5.13978
1085	6.18447
1086	4.24227
1087	1.37334
1088	5.99428
1089	4.575
1090	6.05999
1091	5.4317
1092	6.18338
1093	4.76813
1094	6.01058
1095	3.61559
1096	5.49703
1097	5.53549
1098	4.59907
1099	4.44918
1100	3.62452
1101	4.69219
1102	3.49066
1103	5.59996
1104	4.0672
1105	5.00149
1106	5.61266
1107	5.58269
1108	2.9151
1109	5.66338
1110	5.67937
