Compound Id	Doubly bound carbon bound to three other carbons
469	1
541	1
709	0
711	0
757	1
1250	1
1547	6
1548	4
1549	6
1550	6
1551	6
1552	4
1553	6
1554	4
1555	4
1556	6
1557	6
1558	6
1559	6
1560	2
1561	4
1562	4
1563	2
1564	4
1565	1
1566	1
1567	1
1568	1
1569	1
1570	1
1571	1
1572	1
1573	1
1574	3
1575	3
1576	2
1577	2
1578	2
1579	4
1580	6
1581	6
1582	1
1583	1
1584	2
1585	2
1586	2
1587	4
1588	6
