Compound Id	logP based on the atom-type method
704	2.88
1165	4.543
1604	0.926
1872	2.791
1873	0.619
1874	3.471
1875	1.291
1876	1.643
1877	3.797
1878	4.006
1879	1.182
1880	1.809
1881	4.01
1882	1.857
1883	3.156
1884	3.358
1885	2.818
1886	7.81
1887	3.822
1888	3.156
1889	2.681
1890	2.544
1891	4.147
1892	4.286
1893	6.462
1894	2.98
1895	1.924
1896	1.043
1897	1.845
1898	1.821
1899	2.55
1900	2.738
1901	1.807
1902	3.836
1903	1.5
1904	2.045
1905	3.889
1906	1.217
1907	3.176
1908	1.852
1909	2.941
1910	0.859
1911	4.616
1912	3.328
1913	2.263
1914	3.807
1915	3.358
1916	2.488
1917	3.183
1918	2.667
1919	2.603
1920	3.177
1921	4.147
1922	3.275
1923	4.446
1924	3.555
1925	3.197
1952	7.667
1982	2.316
1983	3.334
1984	3.06
1985	3.524
1986	5.905
1987	3.334
1988	5.689
1989	7.451
1990	9.213
1991	6.54
1992	3.927
1993	2.681
1994	6.117
1995	6.296
