Compound Id	N:C:N:C These bits test for the presence of simple SMARTS patterns, regardless of count, but where bond orders are specific and bond aromaticity matches both single and double bonds.
1	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
12	1
13	1
14	1
16	1
17	1
18	1
20	1
21	1
22	1
23	1
24	1
25	0
26	1
27	1
29	1
31	1
98	0
99	0
104	1
105	1
107	0
108	0
109	0
113	1
115	0
117	1
123	1
124	1
125	0
126	1
128	1
129	1
131	1
132	1
133	1
134	1
136	1
137	1
139	1
140	1
141	0
142	1
143	1
144	0
145	0
146	1
147	1
148	1
