Compound Id	Valence path, order 1
300	5.76428
331	4.35563
333	3.02859
339	3.79497
346	3.10563
347	2.54497
348	5.13541
354	2.90403
360	1.3165
362	7.13541
363	3.76407
364	7.01517
365	2.9568
366	2.40403
368	2.98138
369	3.70499
370	3.96469
371	6.01517
373	1.90403
374	3.90403
375	3.53009
376	2.21007
377	2.63764
378	3.45481
379	3.25174
381	3.93842
382	4.15737
383	4.51326
384	4.1597
385	4.01371
389	2.65348
395	1.99156
398	2.19936
401	4.68374
402	1.02333
406	0.447214
407	1.4129
408	1.20412
409	1.96396
410	3.65168
412	1.52333
413	2.02333
414	2.52333
415	2
421	0.813053
422	1.60357
424	1.72361
426	3.29882
427	1.87918
428	2.44204
429	1.76478
430	2.07722
433	2.95195
440	3.57915
442	2.69319
446	3.4047
454	2.82735
455	2.55096
456	2.96124
457	2.68297
459	3.23803
461	3.92249
464	3.07472
465	2.32544
467	2.86481
468	2.55291
470	2.6872
471	2.97134
472	2.60761
475	4.22962
478	2.96164
479	2.82137
480	2.95526
481	2.67699
484	2.10357
485	1.28427
493	2.62063
494	2.82137
500	2.41068
501	2.26041
502	2.47763
504	3.0747
505	2.91123
506	2.13429
507	2.26041
510	2.11536
512	2.07735
513	1.4714
515	3.26478
516	2.91421
518	3
520	1.84973
521	3.02333
527	4.02333
530	4.78425
536	4.52549
538	2.27456
539	3.43887
540	3.09553
541	3.52249
542	3.02872
543	9.76392
545	4.32137
547	1.85106
548	2.1547
556	1.22448
568	4.69409
570	8.89718
574	3.66276
575	2.95526
579	2.76478
583	4.41208
588	3.92847
593	5.22174
595	2.11237
636	4.06874
646	2.20084
660	2.51934
664	4.44514
677	4.55834
678	5.14415
679	3.54497
684	4.18096
700	2.6179
701	3.1606
715	2.75227
717	2.66068
734	3.09202
736	2.61192
737	2.61004
745	3.52333
746	5.02333
751	7.45107
752	8.95805
767	2.51779
776	4.52333
781	2.65735
783	2.65735
802	5.28835
845	3.20639
851	3.6502
860	4.63671
867	11.1061
888	4.215
920	3.62071
925	8.98362
946	8.70743
956	4.13381
1003	6.68516
1070	10.0389
1073	9.14604
1136	9.58967
1138	4.15168
1143	3.03653
1171	2.9636
1182	6.60563
1184	2.91269
1212	7.08334
1214	5.87831
1217	3.94269
1218	3.99156
1236	3.37831
1269	2.60627
1270	2.91068
1278	1.96944
1309	3.62457
1589	4.77306
1590	3.2461
1591	1.69271
1592	5.65441
1593	5.58953
1594	4.10793
1595	4.70455
1596	10.3225
1597	2.79376
1598	2.85106
1599	4.66468
1600	2.08822
1601	7.7107
1602	3.62483
1603	0.723607
1604	1.23673
1605	2.45412
1606	2.84493
1607	2.32294
1608	3.46939
1609	1.9509
1610	1.65205
1611	5.32191
1612	4.47589
1613	3.4047
1614	4.91576
1615	3.42082
1616	2.85882
1617	2.57533
1618	4.21164
1619	4.36665
1620	4.70076
1621	3.77604
1622	7.36117
1623	2.70962
1624	2.51633
1625	3.37193
1626	3.65535
1627	2.26174
1628	3.95825
1629	3.31117
1630	3.06417
1631	3.4394
1632	3.46378
1633	3.17912
1634	2.67249
1635	2.43506
1636	2.24409
1637	2.83114
1638	3.06535
1639	4.3414
1640	4.1707
1641	3.95519
1642	3.24182
1643	5.71874
1644	2.59584
1645	1.61801
1646	1.61536
1647	1.37894
1648	2.82096
1649	3.49578
1650	4.22474
1651	2.78081
1652	2.27048
1653	3.77746
1654	3.09584
1655	1.60517
1656	1.57735
1657	3.12063
1658	3.10357
1659	2.35106
1660	1.58956
