Compound Id	Number of hydrogen bond acceptors (using CDK HBondAcceptorCountDescriptor algorithm)
1	4
4	3
5	4
9	5
51	5
54	4
56	5
57	1
59	3
60	6
66	3
67	8
70	10
72	10
98	6
99	3
123	5
129	4
149	2
151	5
153	3
170	5
219	0
288	1
328	2
340	0
347	0
348	4
355	4
362	4
370	2
386	0
387	0
388	0
389	2
390	0
391	2
392	0
394	0
397	1
398	1
399	1
401	2
402	1
404	2
405	2
406	1
409	0
410	0
412	1
413	1
414	1
415	0
416	0
417	0
422	0
423	0
425	2
428	0
430	0
433	0
435	0
436	4
437	1
438	0
440	0
442	0
443	4
444	0
445	0
446	0
447	1
449	0
450	2
451	2
453	0
454	0
455	0
456	0
459	0
460	0
461	0
462	0
467	1
468	0
470	0
471	0
472	0
473	1
474	0
475	0
476	0
477	2
479	0
480	0
481	1
483	1
484	0
494	0
495	1
496	0
497	0
498	0
500	0
502	0
506	0
510	1
521	1
524	1
527	1
530	2
532	2
533	0
536	1
537	0
538	0
539	0
540	0
542	1
543	6
544	5
545	1
548	2
552	0
553	0
554	1
555	2
558	2
559	0
560	0
561	0
562	0
565	2
566	0
568	3
569	2
570	4
572	0
573	0
575	0
577	0
578	0
583	0
588	0
589	0
591	2
592	0
593	2
594	1
597	5
598	2
600	0
601	2
602	2
603	0
608	2
609	0
610	7
617	1
626	3
628	1
629	2
630	4
631	2
632	0
633	3
634	2
635	0
636	0
637	3
638	3
639	1
640	4
641	2
642	2
643	4
644	3
645	3
646	0
647	1
648	0
649	0
650	1
651	0
652	0
653	0
654	0
655	0
656	0
657	0
658	1
659	1
660	0
661	3
662	3
663	0
664	0
665	2
666	4
667	4
668	1
669	0
670	2
671	3
672	6
673	1
674	2
675	2
676	0
677	0
678	0
679	0
680	3
681	1
682	0
683	0
684	1
685	3
686	2
687	0
688	2
689	1
690	1
691	2
692	2
693	2
694	2
695	1
696	2
697	0
698	2
699	0
700	0
701	1
702	0
703	0
704	1
705	1
706	1
707	1
708	2
709	0
710	0
711	0
712	2
713	2
714	2
715	1
716	2
717	1
718	4
719	3
720	3
721	2
722	2
723	2
724	3
725	0
726	4
727	2
728	2
729	2
730	2
731	0
732	2
733	2
734	1
735	0
736	0
737	1
738	1
