Compound Id	Count of E-State descriptors of strength for potential Hydrogen Bonds of path length 2
1165	0
1873	1
1875	0
1879	0
1880	0
1881	0
1899	0
1925	0
1927	0
1931	0
1938	0
1943	0
1951	0
1952	1
1954	0
1956	0
1970	2
1985	0
1986	1
1988	0
1989	0
1990	0
1991	0
1992	0
1996	0
1997	1
1998	0
1999	0
2000	0
2001	1
2002	1
2003	1
2004	0
2005	0
2006	1
