Compound Id	Pubchem fingerprint — simple smart pattern: Clsingle bondC:Csingle bond[#1] These bits test for the presence of simple SMARTS patterns, regardless of count, but where bond orders are specific and bond aromaticity matches both single and double bonds.
9	1
10	1
20	1
21	1
26	1
66	1
154	0
185	0
190	0
191	0
194	0
196	0
197	0
198	0
201	0
202	0
204	0
212	0
279	0
286	0
290	0
300	1
314	1
319	0
332	0
333	1
339	0
342	1
362	0
386	1
387	0
388	0
390	0
391	0
392	0
393	0
394	0
395	0
397	0
398	0
401	0
409	0
410	0
417	1
418	0
422	0
424	0
428	0
430	0
433	0
435	0
436	0
437	0
438	0
440	1
441	0
446	0
447	0
455	0
456	1
457	1
459	0
461	1
464	0
468	0
469	0
475	0
480	1
481	1
495	0
496	0
497	1
498	0
499	0
502	1
513	0
514	0
518	0
524	0
529	0
533	0
536	0
537	0
539	1
540	1
541	0
542	0
543	0
544	0
545	0
552	0
553	0
554	0
555	0
559	0
560	0
561	0
562	0
565	0
566	0
567	0
568	1
569	1
570	0
573	0
575	1
577	0
583	1
588	1
594	0
595	0
596	1
597	0
599	0
604	0
616	0
618	1
619	1
621	0
623	1
625	1
631	0
640	0
646	0
647	0
648	1
651	0
653	0
656	0
659	0
660	0
663	0
669	0
673	0
676	1
677	0
680	0
683	0
686	1
699	1
700	1
701	1
702	1
703	0
706	0
710	1
715	0
717	0
721	0
736	1
739	0
741	1
751	1
753	1
754	0
761	0
767	0
769	0
792	0
799	0
802	0
804	0
805	0
814	1
821	1
822	0
831	1
851	1
865	0
871	1
878	0
881	1
883	0
902	1
905	0
925	0
931	0
932	0
937	0
946	0
960	0
976	1
1003	0
1010	1
1016	1
1027	0
1028	0
1036	1
1043	1
1049	1
1057	1
1059	1
1060	1
1061	1
1070	1
1075	1
1111	0
1112	0
1113	0
1114	0
1115	0
1116	0
1117	0
1118	0
1119	0
1120	1
1121	1
1122	0
1123	0
1124	0
1125	0
1126	0
1127	0
1128	0
1129	0
1130	0
1131	0
1132	0
1133	0
1134	1
1135	0
1136	0
1137	0
1138	0
1139	0
1140	0
1141	0
1142	0
1143	1
1144	0
1145	0
1146	1
1147	1
1148	1
1149	0
1150	0
1151	0
1152	0
1153	0
1154	0
1155	0
1156	0
1157	0
1158	0
1159	0
1160	0
1161	1
1162	0
1163	0
1164	0
1165	0
1166	0
1167	1
1168	0
1169	0
1170	0
1171	0
1172	0
1173	1
1174	0
1175	0
1176	0
1177	1
1178	0
1179	0
1180	0
1181	0
1182	0
1183	0
1184	1
1185	0
1186	0
1187	0
1188	1
1189	0
1190	0
1191	0
1192	0
1193	1
1194	0
1195	0
1196	0
1197	0
1198	0
1199	0
1200	0
1201	0
1202	0
1203	1
1204	0
1205	0
1206	1
1207	0
1208	0
1209	0
1210	0
1211	0
1212	0
1213	0
1214	0
1215	1
1216	0
1217	0
1218	0
1219	0
1220	0
1221	0
1222	0
1223	0
1224	0
1225	0
1226	1
1227	1
1228	1
1229	0
1230	0
1231	0
1232	0
1233	0
1234	0
1235	1
1236	0
1237	0
1238	0
1239	0
1240	0
1241	0
1242	0
1243	0
1244	0
1245	0
1246	0
1247	0
1248	0
1249	0
1250	0
1251	1
1252	0
1253	0
1254	0
1255	0
1256	1
1257	0
1258	0
1259	0
1260	0
1261	0
1262	0
1263	1
1264	1
1265	0
1266	1
1267	0
1268	0
1269	0
1270	0
1271	0
1272	0
1273	0
1274	0
1275	0
1276	0
1277	0
1278	0
1279	0
1280	1
1281	1
1282	0
1283	0
1284	0
1285	0
1286	0
1287	0
1288	0
1289	0
1290	1
1291	0
1292	0
1293	0
1294	1
1295	0
1296	0
1297	0
1298	0
1299	0
1300	1
1301	0
1302	0
1303	0
1304	0
1305	0
1306	0
1307	0
1308	0
1309	1
1310	1
1311	0
1312	0
1313	0
1314	0
1315	0
1316	0
1317	0
1318	0
1319	0
1320	0
1321	0
1322	1
1323	0
1324	0
1325	0
1326	0
1327	0
1328	0
1329	0
1330	0
1331	1
1332	0
1333	0
1334	0
1335	0
1336	0
1337	0
1338	0
1339	0
1340	0
1341	0
1342	0
1343	0
1344	0
1345	0
1346	0
1347	0
1348	0
1349	0
1350	0
1351	0
1352	0
1353	0
1354	0
1355	1
1356	0
1357	0
1358	0
1359	0
1360	0
1361	0
1362	0
1363	0
1364	0
1365	0
1366	0
1367	0
1368	0
1369	0
1370	0
1371	0
1372	0
1373	0
1374	1
1375	0
1376	1
1377	0
1378	0
1379	1
1380	1
1381	0
1382	0
1383	0
1384	0
1385	0
1386	0
1387	1
1388	0
1389	1
1390	0
1391	1
1392	0
1393	1
1394	0
1395	0
1396	0
1397	0
1398	0
1399	0
1400	0
1401	0
1402	0
1403	1
1404	0
1405	0
1406	0
1407	0
1408	1
1409	0
1410	0
1411	1
1412	0
1413	1
1414	1
1415	1
1416	0
1417	1
1418	0
1419	0
1420	1
1421	1
1422	1
1423	1
1424	1
1425	0
1426	0
1427	0
1428	1
1429	1
1430	1
1431	1
1432	1
1433	1
1434	1
1435	1
1436	1
1437	1
1438	1
1439	0
1440	1
1441	1
1442	1
1443	1
1444	1
1445	0
1446	0
1447	1
1448	1
1449	1
1450	1
1451	0
1452	0
1453	0
1454	1
1455	1
1456	1
1457	1
1458	1
1459	1
1460	1
1461	1
1462	1
1463	1
1464	1
1465	1
1466	1
1467	0
1468	0
1469	1
1470	1
1471	1
1472	1
1473	1
1474	1
1475	1
1476	1
1477	1
1478	0
1479	0
1480	0
1481	1
1482	1
1483	1
1484	1
1485	0
1486	1
1487	1
1488	0
1489	0
1490	0
1491	0
1492	0
1493	1
1494	1
1495	1
1496	1
1497	0
1498	0
1499	0
1500	0
1501	0
1502	0
1503	1
1504	1
1505	1
