Compound Id	Molecular distance edge between all primary and tertiary carbons
219	3.15561696
220	3.15561696
221	2.309574272
222	3.057849938
223	1.840308123
224	1.948817506
225	1.864843649
226	2.09002234
227	3.15561696
228	1.864843649
229	1.948817506
230	4.118872122
231	3.840670967
232	3.103950509
233	4.499153695
234	2.848018291
235	1.417144612
236	4.529677479
237	4.118872122
238	8.457656096
239	2.166547775
240	1.840308123
241	4.472245951
242	3.15561696
243	1.840308123
244	0
245	3.538485727
246	1.864843649
247	2.816589567
248	1.400335338
249	4.591802518
250	3.261249985
251	0
252	2.955641116
253	1.43351692
254	2.032530993
255	1.864843649
256	1.736739368
257	1.785490327
258	0
259	0
260	0
261	0
262	1.080007311
263	0
264	2.309574272
265	0
266	1.864843649
267	0
268	0
269	0.94258418
270	3.49827006
271	2.18409669
272	0
273	5.122930089
274	0
275	0
276	0
277	3.337373275
278	0
279	0.19245009
280	0
281	0
282	0
283	3.446943541
284	0.149071198
285	1.372731751
286	2.321948541
287	0
288	0
289	0.314980262
290	2.529822128
291	0
292	0
293	1.785490327
294	2.210418899
295	0.213200716
296	0
297	0
298	1.240403161
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	3.49827006
307	0
308	1.51917741
309	0
310	0
311	0
312	0
313	0
314	0
315	0.213200716
316	3.49827006
317	1.138268045
318	0
319	0
320	0
321	0
322	0.464158883
323	0
324	0
325	1.508544084
326	2.828427125
327	0.552604725
328	0.685006711
329	0
330	0
331	1.72030651
332	2.249576847
333	1.650963624
334	0
335	0
336	0
337	0.908560296
338	2.620741394
339	1.897366596
340	0
341	1.310370697
342	1.650963624
343	0
344	0
345	0.707106781
346	0.632455532
347	1
