Compound Id	Sum of atom-type E-State: -Br.
175	0.30825343
176	0.379994328
177	0.773886692
178	0.742636692
179	0.658173527
180	0.878034997
181	0.812191376
182	0.854599856
183	1.111075307
185	1.21493662
186	1.165473455
187	1.102973455
188	1.276676444
189	1.316898711
190	1.593791902
191	1.690840917
192	1.58090912
193	1.61694005
194	1.789614233
195	2.139144189
196	2.143770273
197	2.096362865
198	2.01431385
199	2.106449789
201	2.609350496
207	2.316758408
208	2.704165311
212	3.29502898
213	3.644271944
214	0.770405323
215	1.055291816
216	1.210310536
217	1.242082823
218	2.179979645
