Compound Id	Simple chain, order 5
1604	0
1882	0
1892	0
1895	0
1896	0
1909	0.041666667
1916	0
1919	0
1920	0
1922	0
1928	0
1930	0
1936	0
1937	0
1939	0
1940	0
1943	0
1949	0
1950	0
1951	0
1952	0
1953	0
1954	0
1955	0
1956	0
1957	0
1958	0
1959	0
1960	0
1961	0
1962	0
1963	0
1964	0
1965	0
1966	0
1967	0
1968	0
1969	0.096225045
1970	0
1971	0
1972	0
1973	0
1974	0.096225045
1975	0.096225045
1976	0.096225045
1977	0.096225045
1978	0.096225045
1979	0.096225045
1980	0.096225045
1981	0
1	0.144337567
4	0.19641855
5	0.144337567
6	0.144337567
7	0.144337567
8	0.269337567
9	0.24639964
10	0.144337567
12	0.144337567
13	0.144337567
14	0.144337567
16	0.144337567
17	0.144337567
18	0.096225045
20	0.144337567
21	0.144337567
22	0.144337567
23	0.24639964
24	0.24639964
25	0.07856742
26	0.216506351
27	0.227670901
28	0.07856742
29	0.216506351
31	0.096225045
98	0
99	0.11785113
100	0.11785113
109	0
117	0.11785113
122	0.144337567
123	0.096225045
126	0.24639964
128	0.144337567
129	0.144337567
131	0.144337567
132	0.144337567
133	0.144337567
134	0.144337567
136	0.096225045
137	0.11785113
138	0.144337567
139	0.096225045
144	0.07856742
146	0.096225045
147	0.096225045
148	0.096225045
173	0.11785113
174	0.07856742
