Compound Id	Maximum H E-State
219	0.57050442
220	0.558457934
221	0.49216564
222	0.638580481
223	0.499770093
224	0.501086428
225	0.693745748
226	1.485150579
227	0.57951271
228	0.681699263
229	0.500393125
230	0.564852435
231	0.561241497
232	0.639900499
233	0.598475099
234	0.495079372
235	0.499770093
236	0.630269274
237	0.555844144
238	0.541929009
239	0.599158557
240	0.504336209
241	0.55151349
242	0.558457934
243	0.499770093
244	0.589160132
245	0.549347469
246	0.698643707
247	0.631636036
248	0.631431975
249	0.572324263
250	0.694108206
251	0.770514456
252	0.631636036
253	0.638580481
254	0.669713719
255	0.681699263
256	0.504336209
257	0.478047446
258	0.680208333
259	0.756972789
260	0.634508262
261	0.565936214
262	0.582215687
263	0.586382259
264	0.515185185
265	0.724125567
266	0.693745748
267	0.670130385
268	0.6805839
269	0.565936214
270	0.46
271	0.573102088
272	0.69414966
273	0.564852435
274	0.662865014
275	0.622461777
276	0.609279683
277	0.599158557
278	0.57962963
279	0.609698605
280	0.705056689
281	0.716759259
282	0.736139456
283	0.599158557
284	0.597887703
285	0.628990832
286	0.580419029
287	0.889375
288	0.180593278
289	0.642153254
290	0.588727088
291	0.884513889
292	0.627694082
293	0.429436335
294	0.588727088
295	0.614800646
296	0.698478009
297	0.756972789
298	0.753066539
299	0.637462882
300	0.641635802
301	0.6415899
302	0.785449263
303	0.63544726
304	0.656666667
305	0.828958333
306	0.46
307	0.622461777
308	0.751870748
309	0.740247662
310	0.596953342
311	0.841180556
312	0.45
313	0.561111111
314	0.508151578
315	0.642578424
316	0.46558642
317	0.732233206
318	0.629543415
319	0.637940996
320	0.821588719
321	0.733541667
322	0.660116899
323	1.306574074
324	0.732065382
325	0.652981859
326	0.752587536
327	0.668381362
328	0.678381362
329	0.484553555
330	1.532754367
331	0.617456066
332	0.637864229
333	0.653619684
334	0.665277778
335	0.608085672
336	0.715685941
337	0.690727041
338	0.551805556
339	0.633081066
340	0.434720293
341	0.630262346
342	0.631119684
343	0.839097222
344	0.828958333
345	0.654305556
346	0.673897392
347	0.694305556
