Compound Id	Maximum atom-type H E-State: :CH:
469	0.587152778
541	0.739930556
709	0.821111111
711	0.755555556
757	0.805486111
1250	0.682777778
1547	0.784153164
1548	0.811930941
1549	0.755555556
1550	0.631375386
1551	0.631375386
1552	0.701629819
1553	0.602777778
1554	0.602777778
1555	0.621375386
1556	0.602777778
1557	0.602777778
1558	0.602777778
1559	0.602777778
1560	0.602777778
1561	0.592777778
1562	0.602777778
1563	0.602777778
1564	0.577152778
1565	0.688402778
1566	0.688402778
1567	0.652708333
1568	0.745555556
1569	0.748333333
1570	0.841180556
1571	0.784027778
1572	0.835555556
1573	0.736180556
1574	0.587152778
1575	0.587152778
1576	0.755555556
1577	0.650538549
1578	0.668333333
1579	0.859691712
1580	0.602777778
1581	0.812750772
1582	0.622777778
1583	0.634027778
1584	0.630555556
1585	0.618402778
1586	0.612777778
1587	0.545625
1588	0.602777778
1	0.708680556
2	0.727777778
3	0.760763889
4	0.658171296
5	0.744933075
6	0.730735544
7	0.727988631
8	0.726576397
9	0.717083727
10	0.679161076
11	0.687988631
12	0.69690799
13	0.713613631
14	0.709321578
15	0.704405864
16	0.702617276
17	0.695278171
18	0.713675767
19	0.725150415
20	0.68678148
21	0.752347018
22	0.710449281
23	0.694168989
24	0.73169621
25	0.620827507
26	0.681679439
27	0.67896898
28	0.653039568
29	0.693725925
30	0.783646975
31	0.741125914
32	0.871324746
33	0.418593553
34	0.818974566
35	0.537128502
36	0.826818558
37	0.730160621
38	0.828974566
39	0.806654502
40	0.70347549
41	0.655011684
42	0.422324263
43	0.706640465
44	0.705444675
45	0.728799739
46	0.881324746
47	0.655115741
48	0.590625
49	0
50	0
51	0
52	0
53	0.506477195
54	0
55	0
56	0
57	0
58	0.515555556
59	0.699118692
60	0
61	0
62	0.706527778
63	0.515555556
64	0.586871029
65	0.725160358
66	0.703794367
67	0.562807855
68	0.608179012
69	0
70	0.644986087
71	0.84047567
72	0.598792938
73	0.604300675
74	0.811165044
75	0.618500567
76	0
77	0.785854429
78	0.576736111
79	0.548384577
80	0.757758029
81	0.658155471
82	0.658199659
83	0.644921107
84	0
85	0.77071554
86	0.757582513
87	0.63872201
88	0.559444248
89	0.786858255
90	0.585919942
91	0.635742737
92	0.534254973
93	0.799750567
94	0.81875
95	0.760741304
96	0.762065342
97	0.778610228
