Compound Id	Number of rings (includes counts from fused rings)
1	1
4	6
5	2
6	3
7	2
8	3
9	3
10	2
12	2
13	2
14	2
16	2
17	3
18	4
20	2
21	2
22	3
23	3
24	4
25	2
26	3
27	3
29	3
31	4
98	3
99	3
104	3
105	1
107	3
108	4
109	3
113	2
115	3
117	2
123	1
124	7
125	4
126	3
128	2
129	3
131	2
132	2
133	3
134	2
136	1
137	2
139	2
140	3
141	5
142	7
143	7
144	4
145	4
146	2
147	3
148	4
