Compound Id	Sum of E-State descriptors of strength for potential Hydrogen Bonds of path length 3
1604	29.47527488
1882	0
1892	0
1895	0
1896	0
1909	0
1916	0
1919	0
1920	0
1922	22.7513125
1928	0
1930	0
1936	0
1937	0
1939	0
1940	0
1943	0
1949	23.49878689
1950	0
1951	0
1952	23.68151369
1953	0
1954	0
1955	0
1956	20.61661844
1957	0
1958	20.36582732
1959	21.16125638
1960	22.82254746
1961	40.34100154
1962	0
1963	0
1964	23.20174711
1965	99.94255557
1966	0
1967	23.24430747
1968	0
1969	40.01673844
1970	19.30394458
1971	9.795871529
1972	2.678760439
1973	2.401395966
1974	26.16464588
1975	25.28564222
1976	37.99205932
1977	34.88313794
1978	34.83341485
1979	39.07777718
1980	37.53691598
1981	0
