Compound Id	Simple path, order 1
1	2.89384685
4	6.360173345
5	9.376028663
6	11.94850831
7	9.376028663
8	9.195107211
9	10.62695886
10	8.7027086
12	9.548660602
13	9.376028663
14	9.786712266
16	9.698637171
17	9.593172146
18	10.36501053
20	9.800443374
21	10.79253088
22	11.71627526
23	9.588954061
24	13.0384438
25	10.50872637
26	10.40561509
27	10.987019
28	12.16681022
29	10.40561509
31	12.26238734
98	9.093465456
99	4.466326495
100	5.270856948
109	10.093465460000001
117	9.665945101
122	11.92068686
123	8.414832661
126	10.12695886
128	9.786712266
129	10.59317215
131	9.376028663
132	9.376028663
133	12.09735679
134	9.376028663
136	9.662921026
137	11.21678115
138	9.699325296
139	9.368933159
144	10.6133922
146	10.23540067
147	14.49300206
148	13.26238734
173	4.466326495
174	6.698377303
