Compound Id	Hydrophobicity
1	-0.77
2	-0.31
3	0.25
4	0.88
5	1.56
6	2.03
7	1.23
8	2.57
9	3.15
10	3.69
11	4.23
12	4.77
13	5.13
14	5.67
15	0.05
16	0.61
17	1.21
18	2.77
19	3.25
20	1.21
21	2.77
22	3.86
23	0.65
24	0.75
25	1.42
26	1.42
27	1.28
28	1.21
29	1.57
30	1.62
31	1.25
32	2.81
33	2.87
34	1.88
35	0.81
36	0.81
37	0.69
38	0.06
39	0.06
40	1.34
41	1.34
42	1.34
43	1.34
44	1.22
45	0.47
46	0.47
47	-0.37
48	0.16
49	0.69
50	1.22
51	1.75
52	2.27
53	2.80
54	3.33
55	4.92
56	1.59
57	-1.83
58	-0.77
