Compound Id	Ionization constant
1	12.55
2	11.10
3	10.70
4	10.70
5	10.63
6	10.63
7	10.60
8	10.50
9	10.40
10	10.32
11	10.32
12	10.20
13	10.07
14	10.00
15	9.99
16	9.92
17	9.89
18	9.70
19	9.67
20	9.43
21	9.34
22	9.29
23	9.10
24	8.96
25	8.88
26	8.73
27	8.63
28	8.36
29	8.20
30	7.87
31	7.58
32	7.51
33	7.44
34	7.37
35	7.22
36	6.48
37	6.42
38	6.40
39	6.40
40	6.31
41	6.22
42	6.00
43	5.86
44	5.37
45	5.24
46	5.22
47	5.11
48	5.06
49	4.75
50	4.57
51	4.01
52	3.99
53	3.71
54	0.42
55	7.29
56	7.15
57	5.64
58	5.42
59	5.35
60	4.08
